Sample,Time (ms),ESP32_X,ESP32_Y,ESP32_Ax,ESP32_Ay,ESP32_Az,ESP32_Gx,ESP32_Gy,ESP32_Gz,ESP32_Mx,ESP32_My,ESP32_Mz,Robotat_X_mm,Robotat_Y_mm,Robotat_Z_mm,Robotat_Roll,Robotat_Pitch,Robotat_Yaw
3,225.4239999456331,3399.0,4422.0,-0.03,0.02,0.98,0.92,0.0,-1.34,86.78,55.56,-63.2,-1359.9575757980347,-1915.981650352478,251.37773156166077,2.8240827573330924,-0.06579541696790442,102.39108572486289
4,341.48459997959435,3368.0,4335.0,-0.03,0.02,0.98,0.98,0.12,-1.34,85.54,54.66,-62.68,-1359.9544763565063,-1916.0032272338867,251.3754665851593,2.8329506043651254,-0.0323449760278828,102.3926743848865
5,458.4877999732271,3397.0,4385.0,-0.04,0.02,0.98,0.92,0.06,-1.34,85.36,54.48,-62.16,-1359.9624633789062,-1916.0122871398926,251.34596228599548,2.838940089165117,-0.07324425927841235,102.39483347668205
6,575.11269999668,3363.0,4414.0,-0.03,0.02,0.98,0.85,0.06,-1.4,86.25,55.02,-61.65,-1360.0016832351685,-1916.054129600525,251.3222098350525,2.834904028049147,-0.09823778362110648,102.40127894400297
7,692.3237999435514,3355.0,4463.0,-0.03,0.02,0.98,0.92,0.0,-1.34,85.01,54.48,-62.16,-1359.9640130996704,-1915.977120399475,251.35788321495056,2.8288823133506273,-0.06111547802121925,102.39528084373758
8,805.927199893631,3386.0,4353.0,-0.03,0.02,0.98,0.79,0.06,-1.4,85.54,53.95,-61.99,-1360.0088357925415,-1916.0338640213013,251.36107206344604,2.8254297642978075,-0.07656441317772199,102.39905812414484
9,922.5321999983862,3386.0,4420.0,-0.03,0.02,0.98,0.92,0.06,-1.34,85.89,54.66,-63.37,-1359.9554300308228,-1916.0072803497314,251.36622786521912,2.854751786133733,-0.05454368641639355,102.39574223337621
10,1038.5534999659285,82.0,4395.0,-0.03,0.02,0.98,0.92,0.06,-1.34,84.83,53.59,-60.96,-1359.972357749939,-1916.0268306732178,251.36062502861023,2.8416697949632974,-0.10636471130914778,102.38020317143697
11,1155.0898998975754,3376.0,4436.0,-0.03,0.02,0.98,0.79,0.06,-1.4,86.25,54.66,-61.99,-1359.958291053772,-1916.0031080245972,251.36947631835938,2.830567361760867,-0.0747128977218857,102.4053961197213
12,1273.1435999739915,3426.0,4366.0,-0.03,0.01,0.98,0.79,0.06,-1.34,85.72,54.84,-61.82,-1359.978437423706,-1915.9941673278809,251.35210156440735,2.8501827219530202,-0.023737254000313443,102.38159401443575
13,1387.7995999064296,3400.0,4463.0,-0.03,0.02,0.98,0.92,0.06,-1.4,85.54,54.66,-62.68,-1359.9796295166016,-1915.9951210021973,251.37504935264587,2.842440106466575,-0.09530889599042376,102.39204341544723
14,2145.8582999184728,3408.0,4494.0,-0.04,0.02,0.98,0.85,0.12,-1.4,85.36,55.2,-61.13,-1359.9576950073242,-1915.9965515136719,251.34575366973877,2.8455665000267216,-0.07155459190454651,102.39750752883768
15,2262.1141999261454,3392.0,4506.0,-0.03,0.02,0.99,0.85,0.06,-1.4,84.65,54.48,-62.51,-1359.9765300750732,-1916.013240814209,251.3498067855835,2.8505653071812445,-0.06857978712042233,102.38948517043329
16,2380.4187999339774,3393.0,4501.0,-0.03,0.02,0.98,0.98,0.18,-1.46,85.54,55.02,-60.96,-1359.9907159805298,-1916.022539138794,251.33752822875977,2.837272735321147,-0.05337280425187586,102.39072548800678
17,2496.4039999758825,3393.0,4459.0,-0.04,0.02,0.98,0.92,0.18,-1.4,85.54,53.59,-61.3,-1359.955906867981,-1915.9969091415405,251.37335062026978,2.8399016417493197,-0.07291029830341064,102.39649416795999
18,3656.696799909696,3376.0,4388.0,-0.03,0.02,0.98,0.92,0.0,-1.34,85.54,54.31,-62.33,-1359.9709272384644,-1916.015863418579,251.3461709022522,2.8382928543433863,-0.040035747049597684,102.39686014454468
19,3772.6811999455094,3377.0,4369.0,-0.04,0.02,0.98,0.73,0.06,-1.4,86.6,53.95,-63.02,-1359.9933385849,-1916.0268306732178,251.34333968162537,2.8390368366553007,-0.07172918199134262,102.40728060730456
20,3892.230400000699,3376.0,4371.0,-0.03,0.02,0.98,0.98,0.12,-1.46,86.96,55.02,-63.37,-1360.002040863037,-1916.0164594650269,251.357764005661,2.825141574877073,-0.04162346670292447,102.405654517972
21,4010.471299989149,3384.0,4405.0,-0.03,0.02,0.98,0.92,0.06,-1.28,86.07,54.13,-61.82,-1360.051989555359,-1916.0574674606323,251.33010745048523,2.8260365975666963,-0.0925938319863875,102.40200772150348
22,4194.472500006668,3352.0,4433.0,-0.03,0.02,0.98,0.92,0.06,-1.4,86.78,54.84,-62.51,-1359.9570989608765,-1915.9942865371704,251.34864449501038,2.8440658064842728,-0.06188800486714905,102.38398821640622
