Sample,Time (ms),ESP32_X,ESP32_Y,ESP32_Ax,ESP32_Ay,ESP32_Az,ESP32_Gx,ESP32_Gy,ESP32_Gz,ESP32_Mx,ESP32_My,ESP32_Mz,Robotat_X_mm,Robotat_Y_mm,Robotat_Z_mm,Robotat_Roll,Robotat_Pitch,Robotat_Yaw
2,101.5248999465257,2172.0,2859.0,-0.04,0.03,0.98,0.92,0.06,-1.4,108.08,56.99,-54.93,-310.2636933326721,-453.5089135169983,252.01362371444702,1.9133999887001316,-0.8909106596117822,156.45636875151524
3,206.3745999475941,279.0,2997.0,-0.04,0.04,0.98,0.79,0.06,-1.34,108.43,56.63,-56.31,-310.2664351463318,-453.51529121398926,252.0217001438141,1.910966978950392,-0.9037742293465757,156.45724305763116
4,322.2043999703601,2248.0,2985.0,-0.03,0.03,0.98,0.92,0.24,-1.34,108.79,57.7,-54.93,-310.2647364139557,-453.5485506057739,251.95172429084778,1.8867144456242844,-0.6468083713414566,156.48127990958923
5,436.95590004790574,5.0,2884.0,-0.03,0.04,0.98,0.98,0.18,-1.46,108.08,58.06,-54.59,-310.26390194892883,-453.5161554813385,252.01264023780823,1.9089139255625278,-0.9127866832454913,156.45839954361793
6,550.5632000276819,2277.0,3025.0,-0.03,0.03,0.98,0.79,0.12,-1.46,107.9,57.16,-55.1,-310.258686542511,-453.51138710975647,252.0105242729187,1.9152037927873564,-0.9102129704402615,156.45842341212455
7,663.1228999467567,2227.0,2896.0,-0.04,0.03,0.98,0.85,0.12,-1.34,108.08,58.06,-54.59,-310.28133630752563,-453.54342460632324,251.95538997650146,1.8879921678449854,-0.6602776915278066,156.47677791012077
8,776.7261000117287,2284.0,2981.0,-0.04,0.04,0.98,0.92,0.0,-1.4,107.72,58.41,-54.24,-310.2416694164276,-453.5287916660309,252.03350186347961,1.9161256566293077,-0.9912573293001192,156.45977106498123
9,889.2873999429867,2255.0,2961.0,-0.04,0.03,0.98,0.98,0.18,-1.4,108.79,56.27,-54.59,-310.2771043777466,-453.54899764060974,251.9548535346985,1.8917447361120199,-0.659555912276998,156.4787088558671
10,1000.0147999962792,2229.0,2924.0,-0.03,0.04,0.98,0.79,0.12,-1.28,109.32,58.24,-54.07,-310.25320291519165,-453.5108506679535,252.0039677619934,1.907685041865142,-0.9118994857837555,156.45398405695798
11,1115.7968000043184,2251.0,2939.0,-0.04,0.03,0.98,0.85,0.12,-1.34,107.72,57.34,-54.93,-310.2545738220215,-453.5141587257385,252.0204484462738,1.9104047750439646,-0.9173288723981405,156.45605669940988
12,1232.8782000113279,2217.0,2903.0,-0.04,0.04,0.98,0.85,0.18,-1.4,108.96,57.88,-55.79,-310.26145815849304,-453.54530215263367,251.94981694221497,1.8887499032849284,-0.6565946585118664,156.47236541252457
13,1346.5298999799415,2239.0,2952.0,-0.04,0.03,0.98,0.98,0.06,-1.28,108.25,57.16,-54.07,-310.2658987045288,-453.5101354122162,252.01499462127686,1.9106569943590705,-0.9073642319039245,156.45566061605635
14,1460.690199979581,2326.0,3068.0,-0.04,0.04,0.98,0.92,0.12,-1.4,106.84,57.52,-53.73,-310.2473318576813,-453.5115361213684,252.00793147087097,1.917817523242754,-0.9059021163553875,156.4551244717873
15,1572.1878999611363,2251.0,2964.0,-0.04,0.03,0.99,0.85,0.0,-1.4,108.96,56.09,-54.76,-310.25588512420654,-453.5106420516968,252.01481580734253,1.915916907402341,-0.921363029796646,156.4535825542198
16,1684.557699947618,2306.0,3034.0,-0.03,0.04,0.98,0.98,0.0,-1.34,107.72,58.77,-55.27,-310.26941537857056,-453.55305075645447,251.95536017417908,1.8847063083181252,-0.6616699623928562,156.47676766300333
17,1797.6160999387503,2222.0,2935.0,-0.04,0.03,0.98,0.92,0.06,-1.4,109.67,57.52,-54.76,-310.2526664733887,-453.51651310920715,252.02107429504395,1.915306438241342,-0.9169155706897859,156.45608659078303
18,1909.4910999992862,2220.0,2880.0,-0.04,0.04,0.98,0.85,0.06,-1.4,108.61,56.09,-55.45,-310.2416396141052,-453.5088837146759,252.00802087783813,1.9077789744630034,-0.9107500758261555,156.45825985984018
19,2023.3579999767244,2305.0,3075.0,-0.03,0.03,0.98,0.85,0.06,-1.4,108.25,57.16,-54.41,-310.26291847229004,-453.5045921802521,252.0102560520172,1.9185201661678362,-0.9172285586105251,156.45505298708085
20,2202.1390999434516,2260.0,2952.0,-0.04,0.03,0.98,0.98,0.12,-1.46,108.61,56.09,-55.79,-310.22995710372925,-453.5035490989685,252.00068950653076,1.9042401353374674,-0.9334972757619875,156.4631946775
21,2519.097900018096,2193.0,2857.0,-0.03,0.03,0.98,0.85,0.0,-1.4,107.19,58.24,-53.38,-310.2540075778961,-453.51073145866394,252.00149416923523,1.9133809494195528,-0.9092075766713524,156.45705544985748
22,2862.4873999506235,2242.0,2926.0,-0.04,0.03,0.98,0.92,0.06,-1.4,108.08,56.99,-54.59,-310.24274230003357,-453.50179076194763,252.00238823890686,1.9080943469436162,-0.9405698806528074,156.46717952616737
23,3001.416699960828,2248.0,2942.0,-0.04,0.03,0.98,0.85,0.06,-1.34,107.54,56.45,-55.45,-310.25874614715576,-453.51365208625793,252.0371973514557,1.9193534899784028,-0.997056554176082,156.4529984901405
24,3136.050699977204,2227.0,2888.0,-0.04,0.03,0.98,0.85,0.06,-1.34,109.5,57.34,-55.27,-310.2690875530243,-453.5507261753082,251.95524096488953,1.8900369892542388,-0.6600516362820792,156.47572845362484
25,3249.2914999602363,2257.0,2950.0,-0.04,0.03,0.98,0.85,0.0,-1.34,108.43,58.41,-54.93,-310.2521002292633,-453.50947976112366,252.01013684272766,1.9147592125189454,-0.912087679453973,156.45757447160295
26,3360.196699970402,2281.0,2992.0,-0.03,0.03,0.98,0.79,0.0,-1.4,108.79,56.27,-54.59,-310.2674186229706,-453.5471796989441,251.9608438014984,1.8821327333555768,-0.6537291702654775,156.48017567723502
27,3472.644599969499,2254.0,2955.0,-0.03,0.04,0.98,0.85,0.12,-1.34,107.37,56.27,-55.27,-310.25078892707825,-453.51293683052063,252.01565027236938,1.9123675188095832,-0.9162036175928083,156.45166488848758
28,3642.4327000277117,2195.0,2878.0,-0.03,0.04,0.98,0.98,0.18,-1.46,108.25,56.81,-54.41,-310.2460503578186,-453.5239636898041,252.0180344581604,1.9107229763688558,-0.9091795280766668,156.45967747732638
29,3853.513399953954,2261.0,3002.0,-0.04,0.03,0.98,0.92,0.12,-1.4,107.54,57.16,-55.1,-310.2658689022064,-453.5568952560425,251.97076797485352,1.8940066380543163,-0.7329365674710424,156.48488853440372
30,3967.2260000370443,2226.0,2931.0,-0.03,0.04,0.98,0.92,0.12,-1.28,108.61,55.74,-55.79,-310.2470636367798,-453.4952640533447,252.00572609901428,1.9035687485218336,-0.9409930368016143,156.46479566524908
31,4086.3344999961555,2207.0,2892.0,-0.04,0.03,0.98,0.92,0.12,-1.4,108.43,57.7,-55.27,-310.25761365890503,-453.50518822669983,252.0093321800232,1.9065080940964128,-0.8957704557398072,156.45374425419584
32,4201.116099953651,2183.0,2874.0,-0.04,0.04,0.98,0.85,0.06,-1.34,108.61,57.16,-54.07,-310.2494776248932,-453.5113573074341,252.007395029068,1.9158724044571778,-0.9161612565453716,156.45235385093383
33,4360.284599941224,2223.0,2924.0,-0.04,0.04,0.98,0.85,0.12,-1.4,107.9,57.52,-54.76,-310.24298071861267,-453.50944995880127,252.00927257537842,1.9127439775775985,-0.9113818940218857,156.45398934330572
34,4566.641999990679,2192.0,2886.0,-0.03,0.04,0.98,0.85,0.12,-1.34,108.61,56.81,-55.45,-310.2530837059021,-453.5153806209564,252.01702117919922,1.9131908338054486,-0.9249415241179072,156.45882428403254
