Sample,Time (ms),ESP32_X,ESP32_Y,ESP32_Ax,ESP32_Ay,ESP32_Az,ESP32_Gx,ESP32_Gy,ESP32_Gz,ESP32_Mx,ESP32_My,ESP32_Mz,Robotat_X_mm,Robotat_Y_mm,Robotat_Z_mm,Robotat_Roll,Robotat_Pitch,Robotat_Yaw
2,101.29600006621331,1634.0,2169.0,-0.03,0.02,0.98,0.92,0.06,-1.28,20.05,27.69,-17.39,432.50352144241333,356.70655965805054,251.92126631736755,2.0555840445367743,-0.7614718388642366,10.529274113937765
3,205.04750008694828,1600.0,2067.0,-0.03,0.02,0.98,0.85,0.06,-1.4,20.76,28.05,-18.42,432.5011968612671,356.7090332508087,251.9138753414154,2.054541770688201,-0.7556205214166254,10.527122847858138
4,308.60880005639046,1607.0,2096.0,-0.03,0.03,0.98,0.85,-0.06,-1.28,19.88,26.08,-17.22,432.4915409088135,356.72715306282043,251.91092491149902,2.076160759414375,-0.7926075158843051,10.51348760385233
5,412.02250006608665,1603.0,2111.0,-0.03,0.03,0.98,0.85,0.12,-1.4,21.12,28.76,-16.7,432.4999153614044,356.71427845954895,251.90550088882446,2.0713135953815303,-0.7693791561931923,10.517600917372148
6,515.866200090386,1614.0,2105.0,-0.03,0.03,0.98,0.92,0.0,-1.46,22.01,26.8,-16.19,432.48650431632996,356.7115366458893,251.90094113349915,2.0794294716123893,-0.7760386464784403,10.508661476977846
7,619.4752000737935,1609.0,2058.0,-0.03,0.02,0.98,0.98,0.06,-1.28,21.12,28.4,-16.7,432.50274658203125,356.7103147506714,251.92996859550476,2.0624032968728865,-0.7663133697234452,10.52367506952076
8,723.2935000211,1596.0,2056.0,-0.03,0.02,0.98,0.92,0.06,-1.46,20.76,28.4,-17.39,432.50951170921326,356.71326518058777,251.919686794281,2.0570038298983016,-0.7585779473348425,10.528051398676613
10,940.6182001112029,1622.0,2102.0,-0.04,0.02,0.98,0.85,-0.06,-1.34,20.05,27.69,-18.42,432.4975311756134,356.70679807662964,251.9122064113617,2.0699373970695274,-0.7758311510717796,10.513967812763415
11,1257.6359000522643,1607.0,2078.0,-0.03,0.03,0.98,0.85,0.06,-1.34,20.41,27.69,-17.39,432.5113892555237,356.7005693912506,251.9237995147705,2.051025885157382,-0.7437635203635833,10.527281308456171
12,1371.4087000116706,1623.0,2102.0,-0.04,0.02,0.98,0.92,0.06,-1.28,19.7,28.4,-18.42,432.504802942276,356.7078411579132,251.9051432609558,2.0727295182200733,-0.7821209024325358,10.515270586718799
13,1485.755700035952,1637.0,2130.0,-0.03,0.02,0.98,0.85,0.06,-1.4,22.18,27.33,-16.36,432.5016140937805,356.7031919956207,251.93148851394653,2.053591258153428,-0.7497472105727322,10.525907804746122
14,1605.695000034757,1639.0,2135.0,-0.03,0.02,0.98,0.85,0.0,-1.4,21.12,27.33,-17.74,432.5025975704193,356.69806599617004,251.92654132843018,2.058065608850954,-0.7558129229651416,10.52924704597609
15,1718.7302000820637,1621.0,2098.0,-0.03,0.03,0.98,0.98,0.06,-1.4,20.41,27.33,-17.05,432.5077533721924,356.70167207717896,251.91828608512878,2.057165995365944,-0.7670039943147731,10.52870830253152
16,1895.5331000033766,1612.0,2076.0,-0.03,0.03,0.98,0.92,0.06,-1.34,20.05,27.33,-18.08,432.5055778026581,356.7105233669281,251.9281506538391,2.055525011118842,-0.7648336814322574,10.529107046693412
17,2059.5386000350118,1605.0,2073.0,-0.03,0.02,0.98,0.79,0.06,-1.34,21.83,26.62,-17.39,432.50301480293274,356.7066490650177,251.9201636314392,2.0583813385195002,-0.7553752072155082,10.523096721830871
18,2207.3307000100613,1620.0,2069.0,-0.03,0.02,0.98,0.85,0.06,-1.34,20.05,27.69,-16.36,432.49601125717163,356.71713948249817,251.90359354019165,2.07724741780352,-0.775652757200411,10.511722347141191
19,2473.5814000014216,1606.0,2076.0,-0.03,0.02,0.98,0.79,0.06,-1.4,21.12,28.05,-16.7,432.48698115348816,356.7102551460266,251.90499424934387,2.073782240882645,-0.788739563543054,10.510970662641032
20,2588.0564000690356,1606.0,2100.0,-0.03,0.02,0.98,0.79,0.06,-1.4,20.59,28.58,-17.56,432.5147271156311,356.70435428619385,251.9182562828064,2.059660622175828,-0.7462319034038899,10.526778090718226
21,4253.240700112656,1596.0,2097.0,-0.04,0.02,0.98,0.85,0.0,-1.34,19.88,26.8,-18.6,432.4860870838165,356.6794693470001,251.9301176071167,2.097362334647052,-0.7046966928941312,10.524216776085389
22,4367.056200047955,1595.0,2086.0,-0.04,0.03,0.98,0.92,-0.06,-1.4,21.3,28.22,-16.19,432.5059652328491,356.6987216472626,251.9192397594452,2.0611643254102865,-0.7634728662832466,10.52452648541526
23,4481.218900065869,1598.0,2070.0,-0.03,0.02,0.98,0.79,0.06,-1.34,20.94,26.8,-16.88,432.4880838394165,356.7068576812744,251.91032886505127,2.0749782693371412,-0.785566234989523,10.513884619820065
24,4598.089900100604,1625.0,2111.0,-0.03,0.02,0.98,0.79,0.06,-1.34,21.47,26.62,-16.36,432.5064420700073,356.7010760307312,251.92275643348694,2.0517640603508456,-0.7673360786636966,10.524352981504558
25,4725.48080002889,1633.0,2112.0,-0.03,0.02,0.98,0.85,0.06,-1.34,20.41,26.97,-17.39,432.4852228164673,356.70986771583557,251.91724300384521,2.0539880798922283,-0.7583874362631569,10.522295052479098
