Sample;Time (ms);ESP32_X;ESP32_Y;ESP32_Ax;ESP32_Ay;ESP32_Az;ESP32_Gx;ESP32_Gy;ESP32_Gz;ESP32_Mx;ESP32_My;ESP32_Mz;Robotat_X_mm;Robotat_Y_mm;Robotat_Z_mm;Robotat_Roll;Robotat_Pitch;Robotat_Yaw
2;102.2664;3538;4063;-0.04;0.02;0.98;0.92;0.12;-1.59;52.53;63.6;-40.29;1541.300416;1580.493093;250.6515682;-2.260666567;0.189029194;55.98023532
3;205.6991;3536;4078;-0.04;0.02;0.98;1.04;0.12;-1.59;52;63.06;-39.78;1541.309714;1580.489278;250.6627142;-2.260667188;0.16856613;55.98710501
4;308.8709;3498;4085;-0.04;0.02;0.98;0.92;0.18;-1.59;51.11;62.52;-41.33;1541.331887;1580.497622;250.6611049;-2.26060843;0.203348743;55.96057335
5;413.0936;3539;4066;-0.04;0.02;0.98;1.04;0.24;-1.59;49.69;62.52;-42.02;1541.329861;1580.484629;250.6770194;-2.252454233;0.141931374;55.98100575
6;516.7716;3546;4098;-0.04;0.02;0.98;0.85;0.12;-1.59;51.11;62.88;-39.95;1541.336656;1580.503225;250.6524324;-2.257323037;0.17511146;55.95765476
7;620.7563;3584;4036;-0.04;0.02;0.98;0.98;0.18;-1.53;51.11;61.81;-40.98;1541.319132;1580.485463;250.6985068;-2.248980436;0.213822699;55.96689475
8;725.3483;3528;4058;-0.04;0.02;0.98;0.92;0.18;-1.59;51.82;63.6;-40.98;1541.360855;1580.499172;250.6392896;-2.253022137;0.183673037;55.96766323
9;828.9189;3521;4081;-0.04;0.02;0.98;0.98;0.12;-1.59;51.11;61.09;-39.95;1541.334867;1580.496192;250.6594658;-2.259596619;0.206166084;55.96444744
10;933.0438;3532;4059;-0.04;0.02;0.98;0.92;0.18;-1.59;51.11;63.6;-40.64;1541.323781;1580.502868;250.6626546;-2.26016099;0.201111427;55.96810296
11;1037.2641;3512;4057;-0.04;0.02;0.98;0.92;0.12;-1.59;52;61.63;-40.47;1541.317701;1580.47533;250.6650686;-2.257350227;0.175675706;55.97841595
