Sample,Time (ms),ESP32_X,ESP32_Y,ESP32_Ax,ESP32_Ay,ESP32_Az,ESP32_Gx,ESP32_Gy,ESP32_Gz,ESP32_Mx,ESP32_My,ESP32_Mz,Robotat_X_mm,Robotat_Y_mm,Robotat_Z_mm,Robotat_Roll,Robotat_Pitch,Robotat_Yaw
2,218.12920000047598,595.0,3286.0,-0.04,0.02,0.98,1.04,0.12,-1.59,58.39,73.78,-48.73,-1313.2251501083374,697.0279812812805,246.97233736515045,-2.774977987374961,0.3920551978334358,-46.89149897540953
3,321.7944999996689,564.0,3281.0,-0.04,0.02,0.98,0.98,0.24,-1.65,59.45,74.13,-48.39,-1313.1846189498901,697.0036625862122,246.95773422718048,-2.769568978728713,0.3899756240198267,-46.900317429700806
4,426.30559999997786,537.0,3255.0,-0.04,0.02,0.98,0.85,0.18,-1.59,58.92,74.67,-47.87,-1313.2214546203613,697.0185041427612,246.9674050807953,-2.766455952734443,0.38028348486834257,-46.89146274676619
5,528.4841000011511,604.0,3267.0,-0.04,0.02,0.98,0.92,0.24,-1.65,58.03,74.85,-49.08,-1313.0664825439453,697.0667839050293,246.9703108072281,-2.7769072892544044,0.35840342785341583,-46.9919018436017
6,632.3996000010084,571.0,3312.0,-0.04,0.02,0.98,1.04,0.12,-1.53,57.85,73.6,-48.56,-1313.133955001831,696.8612670898438,246.96555733680725,-2.7264018018835614,0.39829085646542894,-46.98257072679715
7,736.9613000009849,553.0,3313.0,-0.04,0.02,0.98,0.92,0.12,-1.59,58.92,75.03,-47.53,-1313.048243522644,696.9236135482788,246.96968495845795,-2.7642429792680394,0.4091853438197585,-46.97567847103939
8,841.297900000427,547.0,3313.0,-0.04,0.02,0.98,1.04,0.12,-1.46,58.56,73.96,-48.21,-1313.019037246704,696.9063878059387,246.9720095396042,-2.7555949484287625,0.4282201620879515,-46.97794808714921
9,945.6957000002149,545.0,3301.0,-0.04,0.02,0.98,1.04,0.12,-1.59,57.85,73.96,-48.21,-1313.055396080017,696.9078183174133,246.96309864521027,-2.7457717092803637,0.41511836289042975,-46.971872592636224
10,1049.351800000295,538.0,3246.0,-0.04,0.02,0.98,0.85,0.06,-1.53,58.03,73.42,-48.39,-1309.7957372665405,701.288104057312,247.09762632846832,-2.7410896860904512,0.5896418715357954,-41.5499924763719
11,1151.0151000002224,544.0,3298.0,-0.04,0.02,0.98,0.98,0.06,-1.53,58.56,73.96,-49.25,-1305.572509765625,710.6331586837769,247.14383482933044,-2.9438078210868177,0.7097136980028333,-31.32453573548269
12,1254.6956999995018,549.0,3339.0,-0.04,0.02,0.98,1.04,0.18,-1.53,58.92,73.96,-48.21,-1303.6258220672607,721.8640446662903,247.00556695461273,-2.887521848417655,0.5762767047814275,-19.238104391220578
13,1357.9996999997093,577.0,3222.0,-0.09,0.0,1.01,-0.37,-3.23,20.2,58.74,74.49,-51.49,-1302.6647567749023,724.0726947784424,246.98029458522797,-2.8846331261663516,0.5326859598131384,-17.331084367036883
14,1461.5797999995266,574.0,3271.0,-0.06,0.06,0.98,0.73,1.04,-1.59,58.74,68.42,-47.01,-1302.7186393737793,723.9676117897034,246.9809353351593,-2.849985242684266,0.5223147144117315,-17.349675117221967
15,2303.8995000006253,644.0,3368.0,-0.08,-0.09,1.0,-5.19,6.41,9.03,57.32,63.42,-46.32,-1207.4633836746216,813.859224319458,247.15478718280792,-2.3936620498564034,0.4998192138074011,-1.4037051874492599
16,2405.69140000116,691.0,3358.0,-0.21,0.01,0.83,5.74,-6.65,5.43,57.68,63.77,-46.32,-1184.1838359832764,835.0216746330261,246.89464271068573,-2.4922667182175067,0.46069625831339556,-0.46381704361820475
17,2611.616700000013,769.0,3361.0,-0.11,0.08,0.98,-1.28,7.69,3.78,59.81,62.7,-44.6,-1142.0257091522217,874.6155500411987,246.8767613172531,-2.3160809720976894,-0.022772797586634787,1.2528271178398935
18,2715.1962999996613,742.0,3412.0,-0.03,0.05,0.99,5.43,1.34,1.1,58.74,62.7,-44.94,-1119.2808151245117,897.5670337677002,247.15352058410645,-2.5225168522111954,0.45356365946520105,2.0815644838412246
19,2819.563700000799,727.0,3416.0,-0.04,-0.05,0.88,5.43,-11.17,5.25,58.21,61.81,-46.49,-1099.2814302444458,918.4191823005676,247.4132776260376,-2.724498645016712,0.07138904950599385,2.745172425885863
20,2923.356400000557,719.0,3430.0,-0.04,0.06,0.99,-1.71,-6.59,5.8,58.39,61.63,-43.22,-1076.7394304275513,940.6946897506714,247.6072907447815,-2.519135000697529,0.4855580429121768,3.5916886630094567
21,3124.701599999753,736.0,3455.0,-0.07,-0.07,0.97,13.18,-7.57,4.21,59.27,61.81,-44.77,-1037.1675491333008,983.9004278182983,247.2551167011261,-2.4761891861864944,0.13042019765512355,4.890872503731345
22,3228.70150000017,742.0,3444.0,-0.02,0.12,1.04,2.26,-1.65,6.71,59.63,62.52,-44.43,-1018.4060335159302,1006.5453052520752,247.5592941045761,-2.7414150968888418,0.09483173739340747,5.488997299366356
23,3332.740699999704,714.0,3423.0,-0.0,-0.09,1.05,-5.13,2.87,8.42,58.39,61.99,-45.63,-997.5736141204834,1030.056118965149,247.42479622364044,-2.5199311488499103,0.17582216232251646,6.477038806152321
24,3434.8308999997244,738.0,3455.0,-0.14,-0.11,0.75,-1.34,-4.76,3.42,60.87,60.92,-46.66,-979.0836572647095,1053.559422492981,247.60876595973969,-2.846153781162064,-0.00030150304596794023,7.351284381223289
25,3538.022599999749,738.0,3446.0,-0.0,0.04,1.17,3.48,-13.06,5.62,60.87,61.27,-46.66,-960.1858258247375,1075.805425643921,247.86776304244995,-2.747051489772663,0.14534010653146587,8.131961246655377
26,3641.786800000773,756.0,3506.0,0.01,0.02,0.91,2.32,3.11,9.22,59.98,58.95,-45.8,-940.0279521942139,1100.1665592193604,248.0688989162445,-2.5475298577412895,0.1927808604345002,9.039260287028785
27,3745.330499999909,787.0,3538.0,-0.02,-0.01,1.07,-2.99,5.31,2.93,60.69,60.74,-45.8,-921.8851327896118,1123.0989694595337,247.90233373641968,-2.5011749598600663,0.22586247624456027,9.810325611721794
