Sample,Time (ms),ESP32_X,ESP32_Y,ESP32_Ax,ESP32_Ay,ESP32_Az,ESP32_Gx,ESP32_Gy,ESP32_Gz,ESP32_Mx,ESP32_My,ESP32_Mz,Robotat_X_mm,Robotat_Y_mm,Robotat_Z_mm,Robotat_Roll,Robotat_Pitch,Robotat_Yaw
2,222.28430001996458,3106.0,1881.0,-0.03,0.03,0.98,0.92,0.0,-1.34,63.0,63.06,-38.74,-988.3764386177063,626.3220310211182,245.5870658159256,1.9626575853999157,-1.2410593548330906,-40.989698782970095
3,326.3945000944659,3054.0,1801.0,-0.03,0.03,0.98,0.92,0.0,-1.46,61.76,63.24,-39.26,-988.4130358695984,626.3392567634583,245.58882415294647,1.9683389107389861,-1.2108109828470208,-40.96777594740004
4,429.7495000064373,3033.0,1791.0,-0.03,0.03,0.98,0.98,0.0,-1.4,62.29,63.77,-40.12,-988.4080290794373,626.3394951820374,245.60007452964783,1.9731037760796066,-1.2090592974772465,-40.937591115228216
5,533.1310000037774,3042.0,1799.0,-0.03,0.03,0.98,0.92,0.06,-1.34,60.87,62.7,-38.4,-988.3748292922974,626.3217926025391,245.6030696630478,1.9722986763545514,-1.2297546702251896,-40.94953838082001
6,636.1340000294149,3104.0,1834.0,-0.03,0.03,0.98,0.98,0.06,-1.4,61.58,65.56,-37.71,-988.3743524551392,626.339316368103,245.60126662254333,1.9706557407396161,-1.2256978461650292,-40.96245444612082
7,741.2466000532731,3092.0,1854.0,-0.03,0.03,0.98,0.92,0.06,-1.34,61.76,63.6,-39.26,-988.4015321731567,626.3365149497986,245.59789896011353,1.9688859208651373,-1.201813045680213,-40.96903440063611
8,843.6264999909326,3102.0,1864.0,-0.03,0.03,0.98,0.98,0.06,-1.4,61.05,63.95,-40.29,-988.4039759635925,626.352846622467,245.6071525812149,1.9671083913261216,-1.207422147171807,-40.96940707295867
9,947.2814000910148,3130.0,1905.0,-0.04,0.03,0.98,0.85,0.18,-1.4,62.82,62.52,-39.26,-988.3875846862793,626.3332962989807,245.59395015239716,1.9758858257534695,-1.2265809153360279,-40.94685934239354
10,1051.1999001028016,11.0,1874.0,-0.04,0.03,0.98,0.92,0.06,-1.34,62.29,61.99,-38.4,-988.4078502655029,626.3435482978821,245.60604989528656,1.9716800172764168,-1.2112845567853259,-40.96349345254827
11,1155.2815000759438,3142.0,1937.0,-0.03,0.03,0.98,0.92,0.0,-1.34,62.47,63.95,-37.88,-988.3898496627808,626.3378858566284,245.59371173381805,1.9621621749452884,-1.2550548073281085,-40.989060775847506
12,1258.5604999912903,3110.0,1888.0,-0.03,0.03,0.98,0.85,0.18,-1.34,61.58,63.42,-38.4,-988.3993864059448,626.3406276702881,245.60613930225372,1.9679060353608508,-1.2092610707450606,-40.96288482183645
13,1362.932400079444,3097.0,1864.0,-0.04,0.03,0.98,0.98,0.06,-1.4,63.18,64.67,-39.95,-988.4133338928223,626.3480186462402,245.59897184371948,1.9736227076698725,-1.2150474119853685,-40.96427847003639
14,1466.3506000069901,3120.0,1874.0,-0.03,0.03,0.98,0.85,0.06,-1.4,63.0,63.77,-38.4,-988.3551597595215,626.3056993484497,245.5950230360031,1.9585984696654704,-1.2375571609001346,-40.96855371858765
15,1569.4368000840768,3094.0,1864.0,-0.03,0.03,0.98,0.85,0.0,-1.34,62.47,62.52,-40.64,-988.3717894554138,626.3221502304077,245.58204412460327,1.9627074209484034,-1.2623265261342762,-40.965448629140184
16,1673.1623000232503,3086.0,1846.0,-0.03,0.03,0.98,0.92,0.06,-1.4,62.65,62.7,-39.43,-988.3764386177063,626.3201832771301,245.59901654720306,1.9764608288684902,-1.2086437288737277,-40.944059675489854
17,1777.0379000576213,3093.0,1854.0,-0.04,0.03,0.99,0.85,0.06,-1.4,63.18,64.67,-39.26,-988.3776903152466,626.3256072998047,245.58909237384796,1.9610349552665194,-1.2546024135691567,-40.9923806084555
18,1930.8968000113964,3064.0,1830.0,-0.19,0.05,0.96,0.49,9.16,-7.63,64.07,64.13,-38.74,-988.3812069892883,626.3391375541687,245.60336768627167,1.9727506619061987,-1.2385425003996344,-40.97024924332154
19,2033.413500059396,3087.0,1848.0,-0.22,0.02,0.91,-5.98,0.79,-0.18,64.42,65.92,-38.06,-988.8477921485901,626.1715888977051,245.69927155971527,2.237082576410099,-1.4317857860655134,-41.13925416246513
20,2238.3818000089377,3097.0,1892.0,0.06,0.09,1.01,4.58,-6.16,-1.46,63.18,63.24,-35.82,-949.6728777885437,627.1179914474487,245.67987024784088,2.015330234141915,-1.0283908876668173,-41.06810093114158
21,2443.8100000843406,3036.0,1882.0,-0.1,-0.03,0.94,1.4,-0.06,-0.61,64.6,62.88,-34.44,-893.1429982185364,629.3015480041504,245.9242343902588,1.9721304105937283,-1.252466315867476,-40.99509594712733
22,2547.3786999937147,3029.0,1898.0,0.08,0.14,1.12,6.16,0.18,-2.26,63.53,62.88,-32.72,-862.9531264305115,630.5016875267029,246.23645842075348,1.7273777200903337,-1.1837539904237613,-40.77635016587142
23,2648.7994000781327,2984.0,1869.0,-0.17,-0.04,0.9,-5.31,4.64,0.06,62.11,62.88,-32.37,-833.0475091934204,630.2779912948608,246.01024389266968,1.9698895437271786,-1.0109499143809957,-40.79353599519968
24,2750.9359000250697,2947.0,1847.0,0.01,0.01,0.85,-5.43,-12.88,0.12,62.11,60.74,-31.34,-799.7256517410278,630.2494406700134,245.92217803001404,2.2202200031332606,-0.867407095745932,-40.6446071767416
25,2853.7118000676855,2918.0,1833.0,-0.02,0.01,0.99,2.01,-3.17,-1.71,60.87,61.27,-30.48,-769.6079015731812,631.5968632698059,245.8464801311493,2.3372638721330437,-1.0991714351198694,-41.165397225555346
26,2955.814400105737,2881.0,1814.0,-0.06,-0.11,0.91,-3.05,9.7,-1.4,62.29,60.2,-27.72,-738.518476486206,632.5806975364685,246.00116908550262,2.1544940398811994,-1.142326495429689,-41.30981688178353
27,3059.4191000564024,2862.0,1797.0,0.01,0.25,1.17,4.7,-2.87,-1.28,61.76,58.59,-27.9,-705.5280804634094,634.3482136726379,246.18282914161682,1.928955131395163,-1.26011868989774,-41.40422808732751
28,3162.644000025466,2843.0,1822.0,-0.1,-0.08,0.91,0.67,3.91,-2.38,61.05,57.52,-25.48,-674.6962666511536,634.7175240516663,246.33722007274628,1.9396727677084855,-1.302004509836155,-41.26692635152178
29,3266.983300098218,2797.0,1811.0,0.06,0.17,1.21,3.97,2.93,-2.56,61.05,56.81,-23.42,-643.713116645813,635.616660118103,246.6709017753601,1.837960650277955,-1.089323535904736,-41.26358974193381
30,3370.9597000852227,2751.0,1802.0,-0.11,-0.02,0.93,-2.14,1.28,-1.89,62.29,55.91,-19.11,-611.0116839408875,635.1167559623718,246.39520049095154,2.237194015228921,-1.2027001071904906,-41.194169571533926
31,3474.77530001197,2711.0,1793.0,0.03,-0.03,0.83,-7.57,-7.57,1.34,61.23,55.56,-14.29,-580.2346467971802,635.4703307151794,246.52571976184845,2.303526100689955,-1.1137123231778443,-41.3064374596554
32,3578.427700093016,2677.0,1784.0,0.02,0.09,1.19,3.36,-0.12,-2.38,64.07,56.63,-11.19,-546.9271540641785,637.2395753860474,246.5452253818512,1.9770520446878372,-1.3228308347120001,-41.73945218320779
33,3683.4143000887707,2628.0,1779.0,-0.17,-0.09,0.82,-0.61,6.41,-3.05,62.82,61.09,-12.4,-516.4640545845032,637.3255252838135,246.8288093805313,2.0220468562189353,-1.3369638918282234,-42.026134219313164
34,3787.286600098014,2600.0,1786.0,0.13,0.24,1.36,0.73,-2.93,-1.04,63.0,64.13,-10.85,-484.253466129303,638.7357711791992,246.98054790496826,1.8647260268448096,-1.5921155784522343,-42.18613791968577
35,3980.888199992478,2526.0,1803.0,0.13,0.18,1.23,4.58,3.72,-1.28,64.6,65.74,-13.09,-425.70996284484863,637.9802227020264,247.5166618824005,1.9297810206945363,-1.1861274799731751,-41.953401269425406
36,4088.140800013207,2503.0,1791.0,-0.15,-0.06,0.86,-7.02,0.67,-1.95,65.84,65.2,-11.19,-393.5617506504059,637.6500725746155,247.56407737731934,2.2445782919060075,-1.1559473604745676,-42.043636776572804
37,4191.735800006427,2466.0,1817.0,0.02,0.07,0.93,-3.23,-11.54,1.65,64.78,65.56,-12.57,-363.4567856788635,638.0884647369385,247.59486317634583,2.254496895190859,-1.2853625643758848,-42.05145321494301
38,4294.540600036271,2423.0,1826.0,-0.05,-0.1,0.88,-4.27,-3.91,-1.28,66.37,65.02,-12.4,-330.1612436771393,638.4606957435608,247.6380616426468,2.0354613460783586,-1.3109785885174945,-42.33840328280869
39,4400.540400063619,2383.0,1854.0,0.0,0.09,1.05,-1.59,10.93,-1.83,69.39,64.13,-11.19,-299.64351654052734,638.0194425582886,247.99685180187225,2.0871759638387877,-1.0723656705389644,-42.30003144435652
40,4503.71260009706,2372.0,1834.0,-0.18,-0.01,0.79,-0.67,-0.92,-1.22,70.28,63.6,-9.64,-267.74850487709045,639.3399834632874,248.20420145988464,1.8806741875004616,-1.4386849480744974,-42.472199329226065
41,4605.721700005233,2353.0,1816.0,0.03,0.11,1.15,1.77,5.98,-0.85,71.87,62.7,-8.44,-237.82652616500854,638.5049819946289,248.38346242904663,2.133973704033358,-1.2981747889150757,-42.217295283634414
42,4708.150100079365,2327.0,1809.0,0.01,-0.06,0.8,-2.5,-7.32,-1.95,72.41,62.52,-6.89,-207.65039324760437,637.8782391548157,248.77320230007172,2.1239898632570133,-1.1305375514309897,-42.23671014169862
43,4813.035500003025,2307.0,1776.0,-0.01,0.1,0.97,-0.67,-4.33,-3.05,74.36,61.99,-6.03,-175.3171980381012,638.0839943885803,248.77962470054626,2.1401388912793387,-1.3049453689539712,-42.573290908831375
44,4916.861400008202,2274.0,1782.0,-0.14,0.13,1.03,1.53,1.28,-3.72,75.42,61.27,-4.65,-145.3711837530136,638.6637091636658,248.91993403434753,2.021852923870554,-1.2565077012846715,-42.687171481828784
45,5021.55980002135,2260.0,1744.0,-0.01,0.09,1.01,-6.16,2.69,-1.71,76.31,61.09,-1.72,-112.65543848276138,637.762725353241,248.89330565929413,2.102571382034674,-1.1990205979711885,-42.774472830840395
46,5205.221300013363,2190.0,1775.0,0.03,0.09,1.1,0.31,1.59,-2.2,76.84,62.7,0.52,-58.703258633613586,638.2666826248169,249.24945831298828,1.9901958926530385,-1.5152012458271047,-43.153996324906295
47,5307.504300028086,2171.0,1770.0,-0.14,-0.03,0.8,0.18,-1.04,-1.28,78.8,61.81,2.76,-28.44269946217537,636.8026733398438,249.4174838066101,2.054872760325904,-1.1047640443015825,-42.98769853098796
48,5413.490100065246,2160.0,1764.0,0.02,0.06,1.17,-4.33,3.17,-0.92,77.2,61.99,5.34,4.076299723237753,636.3117694854736,249.7234344482422,1.967394966925326,-1.0039277472448962,-43.089821768324164
49,5517.10160006769,2136.0,1752.0,-0.23,-0.04,0.83,-0.18,6.47,-3.6,78.44,61.09,7.58,33.71903672814369,634.9855065345764,249.7599720954895,2.2077414485735334,-0.9616759921529068,-43.31502514258582
50,5621.256200014614,2104.0,1758.0,0.1,0.12,1.05,17.64,-2.75,-7.08,79.86,61.81,8.61,65.83117693662643,634.6210241317749,249.71294403076172,2.2881757223430603,-1.1842908417007214,-43.404358353417486
51,5727.737700100988,2026.0,1752.0,0.01,0.08,1.15,4.33,4.94,-5.19,82.52,65.56,15.33,96.42831236124039,634.4741582870483,249.72112476825714,2.09705477210088,-1.1737189064899194,-43.74768667794734
52,5831.577100092545,1983.0,1744.0,-0.18,0.07,0.8,5.19,-5.19,-1.71,85.72,67.7,15.67,129.7088861465454,633.4331631660461,249.9012053012848,2.0726512059728814,-1.0644094871474217,-43.89368211967253
53,5935.215100063942,1947.0,1745.0,-0.02,0.02,1.07,1.77,7.14,-1.65,84.65,71.63,16.01,161.7116779088974,633.7246298789978,250.09846687316895,1.8986407321082064,-1.4089081691098229,-44.01469566560989
54,6044.305000104941,1923.0,1771.0,0.03,0.09,0.88,-3.11,-8.73,-2.32,87.14,73.06,18.42,194.23425197601318,632.1496963500977,250.27349591255188,2.0105126828572883,-1.3617832302574064,-44.108578270227675
