Sample,Time (ms),ESP32_X,ESP32_Y,UWB_QF,ESP32_Ax,ESP32_Ay,ESP32_Az,ESP32_Gx,ESP32_Gy,ESP32_Gz,ESP32_Mx,ESP32_My,ESP32_Mz,Robotat_X_mm,Robotat_Y_mm,Robotat_Z_mm,Robotat_Roll,Robotat_Pitch,Robotat_Yaw
2,205.7469000283163,732.0,1630.0,57.0,0.01,0.0,-1.0,-0.07,0.29,0.07,56.25,52.91,-13.59,-1206.092357635498,-818.5266852378845,226.62119567394257,-0.3844702761383563,-1.3830378885775167,47.747222440432196
3,309.12880002870224,712.0,1639.0,59.0,0.01,0.0,-1.0,-0.24,0.18,0.0,57.42,50.56,-13.59,-1206.0946226119995,-818.5321092605591,226.62152349948883,-0.38188431939464434,-1.3876066767014312,47.74830949220651
4,412.47150002163835,716.0,1654.0,58.0,0.01,0.0,-1.0,-0.29,0.06,0.01,55.08,51.73,-15.86,-1206.1240673065186,-818.3926343917847,226.64287686347961,-0.15781035749968453,-1.6421777279073935,47.810868941425085
5,516.7085000139195,757.0,1666.0,53.0,0.01,0.0,-1.0,-0.33,0.06,0.23,59.77,51.73,-14.73,-1205.716848373413,-804.4372797012329,226.73630714416504,-0.5162727112283779,-1.590635223242461,48.28939518263987
6,620.619200024521,764.0,1636.0,63.0,0.01,0.0,-0.99,-0.09,0.29,-0.11,57.42,50.56,-14.73,-1204.0271759033203,-785.2070927619934,226.46194696426392,-0.08878704224497967,-1.326044903040921,48.368471703613324
7,724.6245000278577,746.0,1651.0,59.0,0.01,0.0,-1.0,-0.23,-0.1,0.0,57.42,52.91,-13.59,-1203.3323049545288,-759.2568397521973,226.24649107456207,-0.22885548849627346,-1.3425761514226293,48.03851870916827
8,828.0813000164926,744.0,1667.0,60.0,0.01,0.0,-0.99,-0.28,0.36,0.07,59.77,50.56,-15.86,-1203.406572341919,-733.929455280304,226.03300213813782,-0.49384668128854214,-1.6688385437240676,47.957564992449164
9,931.5327000222169,743.0,1692.0,49.0,0.01,0.01,-1.0,-0.06,0.26,-0.09,57.42,52.91,-13.59,-1203.272819519043,-706.2097787857056,225.81474483013153,-0.5504867411661408,-1.95444361519072,47.87031082415791
10,1035.6344000028912,755.0,1654.0,65.0,0.01,0.01,-1.0,-0.28,0.16,0.19,58.59,49.38,-13.59,-1202.11660861969,-692.4734115600586,225.9639948606491,-0.43409418000735955,-1.8181591984160035,47.90845885506539
11,1198.5501000017393,758.0,1771.0,61.0,0.03,0.02,-0.98,0.74,-1.21,0.86,62.11,47.03,-4.53,-1201.7546892166138,-690.4231905937195,226.0027378797531,-0.3461974381602213,-1.8068916350625566,49.4705123147817
12,1302.2236000106204,747.0,1774.0,58.0,0.32,-0.09,-0.91,0.41,-12.57,0.27,62.11,47.03,-4.53,-1201.9940614700317,-690.544843673706,225.9974181652069,-0.3506154189949273,-1.7969970528523689,49.60058098315045
13,1407.2925000218675,747.0,1780.0,60.0,-0.11,0.07,-1.2,0.97,-3.32,-5.62,62.11,48.21,-5.66,-1200.9721994400024,-684.3408942222595,226.0192632675171,0.08748956655914801,-1.6496154757864956,50.125357648360215
14,1509.9642000277527,731.0,1757.0,50.0,0.08,0.11,-1.01,-0.12,3.01,-5.16,60.94,50.56,-6.8,-1201.4572620391846,-667.2504544258118,226.3648957014084,-0.38248473647840725,-1.707317670695371,50.35339166472157
15,1611.677500011865,746.0,1770.0,61.0,-0.05,-0.01,-1.09,3.94,-11.99,-0.29,63.28,47.03,-5.66,-1202.4439573287964,-643.8827514648438,226.51280462741852,-0.6889536327155048,-2.0696274910005124,50.54755586045197
16,1713.367600023048,778.0,1813.0,75.0,-0.09,-0.17,-0.92,6.58,9.25,-3.32,60.94,54.09,-6.8,-1200.7793188095093,-619.7372078895569,226.50623321533203,-0.17367647987858226,-1.6037924716183212,50.57027986848971
17,1815.7006000110414,779.0,1834.0,67.0,-0.04,-0.08,-0.73,1.76,11.59,-0.61,60.94,54.09,-6.8,-1200.4384994506836,-593.2167768478394,227.131649851799,-0.35462803389096564,-1.3890479470739154,50.71843042401359
18,1918.3904000092298,770.0,1830.0,62.0,0.03,0.06,-0.79,-4.58,2.82,3.22,60.94,50.56,-7.93,-1200.426697731018,-567.2043561935425,227.02345252037048,-0.32474337476893456,-1.5601955603457371,50.86218415375598
19,2021.1360000248533,762.0,1840.0,58.0,-0.03,-0.05,-1.25,-4.19,-2.05,4.73,58.59,49.38,-11.33,-1199.6867656707764,-538.2243990898132,226.77181661128998,0.031572502870207686,-1.2738460472062334,50.690576154461546
20,2123.1944000173826,747.0,1828.0,52.0,-0.09,-0.09,-1.49,2.05,-4.43,2.09,57.42,51.73,-10.2,-1201.5339136123657,-511.7120146751404,226.95668041706085,-0.2985953111084945,-1.9308954459258343,50.49538202208048
21,2224.8889000038616,697.0,1897.0,68.0,-0.02,0.23,-1.23,3.1,-6.69,-2.3,56.25,51.73,-12.46,-1202.1695375442505,-484.86974835395813,226.7017960548401,-0.47622840750274387,-2.240713824679501,50.3692343090419
22,2326.1931000160985,689.0,1882.0,65.0,-0.05,0.02,-0.84,-3.65,0.29,1.43,56.25,51.73,-12.46,-1200.7708549499512,-457.7500522136688,226.89545154571533,-0.19065434259327468,-2.089276924952123,50.564975133368
23,4551.57560002408,737.0,2399.0,58.0,0.13,0.06,-0.66,-1.13,3.98,-1.05,58.59,54.09,4.53,-1195.949912071228,152.65581011772156,227.0551174879074,-0.6434246524699887,-2.0339314751927913,49.238307016417004
24,4655.134500004351,738.0,2498.0,63.0,0.15,-0.02,-0.85,-3.67,-2.98,-2.34,64.45,57.61,-7.93,-1194.4721937179565,181.90158903598785,226.92444920539856,-0.5294990554514009,-2.071238738850994,49.623525910189144
25,4758.509300008882,748.0,2583.0,77.0,-0.16,-0.04,-1.17,6.07,-3.49,-1.45,63.28,57.61,-10.2,-1193.3029890060425,209.17542278766632,227.3719310760498,-0.21597451184469363,-1.5547718794633578,49.48085723437865
26,4880.45300001977,745.0,2622.0,73.0,-0.01,0.12,-1.23,3.03,1.56,-2.67,67.97,56.44,-11.33,-1193.178653717041,242.62398481369019,227.21922397613525,-0.5513989669020841,-1.8192911485533851,49.35635534365694
27,4983.855000027688,730.0,2651.0,76.0,0.03,0.15,-1.21,-1.15,-0.8,-1.46,66.8,51.73,-10.2,-1192.617416381836,269.82828974723816,227.5901436805725,-0.7245964088915116,-1.8612080654910361,49.71027403773206
28,5087.348300003214,754.0,2711.0,76.0,-0.09,-0.02,-0.82,3.02,-2.17,0.69,69.14,54.09,-10.2,-1191.2769079208374,299.24607276916504,227.55347192287445,-0.2723245047487072,-1.663665515529709,49.55900088766441
29,5190.558300004341,743.0,2725.0,78.0,-0.04,0.06,-0.68,-2.68,2.45,4.93,69.14,54.09,-10.2,-1190.1047229766846,326.50864124298096,227.1570861339569,-0.06408227131214411,-1.467395821250717,49.32712650676995
30,5295.575700001791,763.0,2773.0,76.0,-0.03,-0.11,-0.87,-6.06,4.58,-0.07,69.14,54.09,-10.2,-1191.0860538482666,353.74829173088074,227.00195014476776,-0.576552124326322,-1.6933810871341124,48.86365919182087
31,5399.276200012537,753.0,2791.0,73.0,-0.02,-0.11,-1.05,6.12,-3.43,-1.06,73.83,51.73,-11.33,-1189.9274587631226,382.896363735199,226.87481343746185,-0.35398747413790094,-1.7069935391290205,49.11074528446961
32,5502.819900022587,746.0,2814.0,77.0,0.07,0.06,-1.15,1.59,-2.27,3.06,73.83,50.56,-9.06,-1189.2449855804443,410.5343222618103,227.15379297733307,-0.39429318149819553,-1.6049215981727278,49.13674375519825
33,5606.191200000467,740.0,2855.0,64.0,0.01,0.01,-0.91,-5.38,-2.11,2.14,78.52,51.73,-9.06,-1188.9060735702515,439.0920400619507,227.22488641738892,-0.7189568511265565,-1.497125881130079,49.0312717069527
34,5710.54600001662,703.0,2853.0,71.0,-0.05,-0.01,-1.03,-1.34,2.49,0.9,78.52,51.73,-9.06,-1187.7765655517578,449.8049318790436,227.10713744163513,-0.4175146108950159,-1.461880639821853,48.65780627120602
35,5813.916100014467,701.0,2892.0,64.0,-0.02,0.13,-1.08,3.44,-0.45,-30.45,82.03,50.56,-7.93,-1188.1150007247925,450.1083791255951,227.15860605239868,-0.40000611765113653,-1.6905340979318124,49.2871843849971
36,5917.890800017631,678.0,2873.0,78.0,0.0,0.03,-1.03,0.15,-1.23,0.12,82.03,50.56,-6.8,-1188.1905794143677,449.9754309654236,227.0527184009552,-0.5605398264048513,-1.7137408982007627,51.07226519851119
37,6020.996900013415,657.0,2874.0,67.0,0.07,-0.16,-1.1,1.09,2.17,0.31,80.86,52.91,-9.06,-1188.7110471725464,454.6215534210205,227.09053754806519,-0.5428897283151235,-1.6420158833411356,50.86572973716578
