Sample,Time (ms),ESP32_X,ESP32_Y,UWB_QF,ESP32_Ax,ESP32_Ay,ESP32_Az,ESP32_Gx,ESP32_Gy,ESP32_Gz,ESP32_Mx,ESP32_My,ESP32_Mz,Robotat_X_mm,Robotat_Y_mm,Robotat_Z_mm,Robotat_Roll,Robotat_Pitch,Robotat_Yaw
12,1255.277499993099,1305.0,1707.0,80.0,0.08,0.02,-0.89,9.61,6.09,4.86,49.22,82.3,-23.79,-1184.7753524780273,-868.0866360664368,226.50101780891418,-0.27214137129421756,-1.3088169600003496,49.76192917923339
13,1361.2649999849964,1012.0,1411.0,71.0,-0.0,0.16,-0.86,-0.46,-2.98,4.42,41.02,59.96,20.39,-1184.7807168960571,-868.0830001831055,226.4924943447113,-0.2676102291847155,-1.2826534287378986,49.75468738030578
14,1465.1957000023685,841.0,1192.0,75.0,0.35,0.07,-0.9,-3.69,-19.78,3.24,83.2,16.46,9.06,-1184.7693920135498,-868.0779337882996,226.49894654750824,-0.27148805552200644,-1.2748013510133935,49.758570848967224
15,1569.6720999840181,765.0,1363.0,67.0,-0.02,0.05,-1.04,-4.56,-1.47,-14.41,60.94,67.02,-7.93,-1184.773325920105,-868.0714964866638,226.50517523288727,-0.2705049662931685,-1.2782486727439986,49.75081944270719
16,1673.5509999853093,788.0,1533.0,69.0,0.01,0.0,-1.0,-0.27,0.01,0.16,57.42,54.09,-13.59,-1184.7726106643677,-868.0768609046936,226.4987677335739,-0.27273606176484,-1.2674594736731384,49.76121813990384
17,1775.2152000030037,778.0,1691.0,65.0,0.01,0.01,-1.0,-0.42,0.27,-0.13,57.42,51.73,-14.73,-1184.7766637802124,-868.0830001831055,226.5022099018097,-0.27911654622049636,-1.2973963976780072,49.757258978350805
18,1879.0407000051346,769.0,1592.0,57.0,0.0,0.01,-1.0,-0.43,0.26,0.16,58.59,52.91,-13.59,-1184.777855873108,-868.0756688117981,226.4963686466217,-0.27506777472621413,-1.280932202344816,49.75514045156817
19,1983.8891999970656,786.0,1639.0,68.0,0.01,0.01,-1.0,-0.14,0.16,-0.06,59.77,50.56,-14.73,-1184.779167175293,-868.08180809021,226.5101820230484,-0.2725475604288801,-1.2971476282291081,49.76125688142521
20,2087.9523000039626,748.0,1595.0,61.0,0.01,0.0,-1.0,-0.46,0.29,0.04,59.77,52.91,-13.59,-1184.7738027572632,-868.0808544158936,226.50514543056488,-0.27269026315553185,-1.2915907987741766,49.75700825794372
21,2191.7888000025414,784.0,1619.0,64.0,0.01,0.0,-1.0,-0.28,0.23,0.01,58.59,51.73,-14.73,-1184.7848892211914,-868.0849075317383,226.49627923965454,-0.2734582166127875,-1.2873556946285694,49.75987619315526
22,2296.862699993653,752.0,1592.0,60.0,0.01,0.01,-1.0,-0.14,0.22,0.26,58.59,52.91,-12.46,-1184.7623586654663,-868.0822253227234,226.49911046028137,-0.2760626598738512,-1.2932912972077282,49.75780945138565
23,2400.7021999859717,760.0,1615.0,56.0,-0.05,-0.07,-0.98,2.07,11.25,-3.57,59.77,54.09,-14.73,-1184.8108768463135,-868.3831095695496,226.54403746128082,-0.024075141224182015,-1.4994062293908281,49.68127783464545
24,2504.6700999955647,759.0,1614.0,63.0,0.08,-0.08,-0.99,6.3,-1.31,2.67,58.59,52.91,-11.33,-1185.4485273361206,-854.6956777572632,226.5889197587967,-0.37801702389460384,-1.5459250254579413,49.91659243465318
25,3580.1550000032876,730.0,1761.0,48.0,-0.09,-0.02,-0.78,0.41,10.98,-2.52,57.42,51.73,-9.06,-1180.9536218643188,-550.9251952171326,226.4730930328369,-0.620664354729148,-2.30240853965752,48.912979353622745
26,3683.620700001484,749.0,1792.0,73.0,0.05,-0.02,-1.38,-9.93,-5.33,0.03,57.42,51.73,-9.06,-1178.0890226364136,-521.5793251991272,226.72027349472046,-0.46757692227675945,-2.133181517559793,48.05721482945109
27,3831.844900007127,740.0,1798.0,65.0,0.02,-0.12,-0.83,1.49,-1.85,2.23,56.25,50.56,-13.59,-1175.7501363754272,-477.41279006004333,227.19202935695648,-0.31422207499006566,-1.5057513922383838,48.02266388204044
28,3933.5717000067234,744.0,1849.0,69.0,-0.08,0.06,-1.12,-0.4,-9.0,4.32,55.08,51.73,-12.46,-1175.0822067260742,-447.62811064720154,227.55621373653412,-0.7033516536324772,-1.740914282681409,48.22329914635949
29,4135.901300003752,746.0,1976.0,77.0,0.04,-0.05,-0.86,-1.47,-5.46,1.97,52.73,50.56,-10.2,-1171.4658737182617,-388.5025680065155,227.52316296100616,-0.299303462484174,-1.75522035366276,47.40140013095064
30,4250.419999996666,672.0,2108.0,79.0,-0.1,-0.15,-0.85,3.26,-3.23,3.03,51.56,48.21,-11.33,-1170.1085567474365,-354.1911542415619,227.2012084722519,-0.31405789722052285,-2.030264197506592,47.38533814069576
31,4354.6039999928325,684.0,2152.0,77.0,0.09,0.02,-1.32,6.12,-4.65,-1.0,49.22,49.38,-10.2,-1168.30313205719,-324.88447427749634,227.1868884563446,-0.1784144259181456,-2.000568990500189,47.033415597489395
32,4459.0621999814175,711.0,2103.0,71.0,-0.09,0.11,-0.79,-2.55,6.35,4.38,51.56,45.86,-10.2,-1165.921688079834,-293.0792570114136,227.45127975940704,-0.2520204551073357,-1.7026649974510382,47.29009813506458
33,4563.522699987516,738.0,2133.0,77.0,-0.01,-0.07,-1.17,4.23,0.33,-0.78,48.05,44.68,-7.93,-1163.8826131820679,-263.3483409881592,227.59655117988586,-0.33932154259838115,-1.7206706634028355,46.894177041539
