x,y,ax,ay,az,gx,gy,gz,mx,my,mz
277.0,6950.0,-0.03,0.02,0.98,0.79,-0.06,-1.65,0.0,0.0,0.0
263.0,6940.0,-0.03,0.02,0.98,0.67,0.0,-1.71,0.0,0.0,0.0
272.0,6946.0,-0.03,0.02,0.98,0.79,-0.06,-1.71,0.0,0.0,0.0
273.0,6906.0,-0.03,0.02,0.98,0.79,0.06,-1.65,0.0,0.0,0.0
260.0,6959.0,-0.03,0.02,0.98,0.79,-0.06,-1.59,0.0,0.0,0.0
256.0,6970.0,-0.03,0.02,0.98,0.73,0.12,-1.71,0.0,0.0,0.0
245.0,7047.0,-0.03,0.02,0.99,0.61,0.12,-1.65,0.0,0.0,0.0
251.0,7030.0,-0.03,0.02,0.99,0.98,-0.18,-1.59,0.0,0.0,0.0
267.0,7023.0,-0.03,0.02,0.99,0.61,0.06,-1.65,0.0,0.0,0.0
275.0,7038.0,-0.03,0.02,0.98,0.67,0.0,-1.65,0.0,0.0,0.0
235.0,7111.0,-0.03,0.02,0.98,0.73,0.06,-1.65,0.0,0.0,0.0
249.0,7092.0,-0.03,0.02,0.98,0.79,0.12,-1.71,0.0,0.0,0.0
253.0,7042.0,-0.03,0.02,0.98,0.73,0.18,-1.71,0.0,0.0,0.0
274.0,7049.0,-0.03,0.02,0.98,0.67,0.12,-1.71,0.0,0.0,0.0
260.0,7083.0,-0.03,0.02,0.98,0.61,0.06,-1.77,0.0,0.0,0.0
262.0,7046.0,-0.03,0.02,0.98,0.85,0.12,-1.65,0.0,0.0,0.0
269.0,6993.0,-0.03,0.02,0.98,0.61,0.12,-1.65,0.0,0.0,0.0
273.0,7036.0,-0.03,0.02,0.98,0.73,-0.06,-1.59,0.0,0.0,0.0
276.0,7002.0,-0.03,0.02,0.98,0.79,0.12,-1.65,0.0,0.0,0.0
276.0,6952.0,-0.03,0.02,0.98,0.85,0.06,-1.65,0.0,0.0,0.0
283.0,6925.0,-0.03,0.02,0.98,0.73,0.12,-1.65,0.0,0.0,0.0
271.0,6888.0,-0.03,0.02,0.98,0.73,-0.06,-1.71,0.0,0.0,0.0
271.0,6954.0,-0.03,0.02,0.98,0.79,0.06,-1.71,0.0,0.0,0.0
256.0,7028.0,-0.03,0.02,0.98,0.73,0.0,-1.71,0.0,0.0,0.0
262.0,7027.0,-0.03,0.02,0.98,0.67,0.06,-1.71,0.0,0.0,0.0
267.0,7022.0,-0.03,0.02,0.99,0.67,0.49,-1.65,0.0,0.0,0.0
268.0,7028.0,-0.03,0.02,0.99,0.79,0.12,-1.71,0.0,0.0,0.0
280.0,7008.0,-0.03,0.02,0.98,0.73,0.06,-1.59,0.0,0.0,0.0
284.0,7008.0,-0.03,0.02,0.98,0.73,-0.06,-1.71,0.0,0.0,0.0
290.0,6992.0,-0.03,0.02,0.98,0.73,0.0,-1.65,0.0,0.0,0.0
293.0,7007.0,-0.03,0.02,0.98,0.73,0.0,-1.77,0.0,0.0,0.0
287.0,6997.0,-0.03,0.02,0.98,0.67,0.0,-1.59,0.0,0.0,0.0
307.0,7042.0,-0.03,0.02,0.98,0.73,0.06,-1.65,0.0,0.0,0.0
