0.66,4.1,0.407
0.67,4.094,0.401
0.661,4.082,0.4
0.668,4.089,0.376
0.681,4.089,0.354
0.66,4.093,0.241
1.079,4.052,0.056
1.26,3.948,0.153
1.328,3.835,-0.108
1.5,3.687,-0.286
1.577,3.63,-0.321
1.65,3.544,-0.083
1.722,3.478,-0.067
1.903,3.284,-0.276
1.98,3.24,-0.061
2.023,2.847,-0.261
2.019,2.798,-0.118
2.19,2.397,0.335
2.271,2.375,0.091
2.355,2.455,0.1
2.281,2.774,-0.005
2.367,2.953,-0.404
2.519,2.941,-0.601
2.584,2.929,0.101
2.584,2.985,0.091
2.702,3.105,0.071
2.759,3.223,-0.226
2.844,3.285,0.027
2.97,3.378,0.337
3.418,4.273,-0.067
3.438,4.454,0.071
3.604,3.764,-0.162
3.697,3.651,0.07
3.648,3.34,0.275
3.492,2.854,0.379
3.589,2.758,0.304
3.588,2.562,0.32
3.592,2.3,0.081
3.551,1.095,0.205
3.584,0.853,-0.141
3.539,0.741,0.229
3.751,0.403,0.289
3.609,0.58,0.029
3.557,0.463,0.169
3.557,0.371,0.167
3.452,0.424,0.305
3.377,0.242,0.388
3.483,0.27,0.214
3.482,0.302,0.312
3.385,0.385,0.397
1.992,0.602,-0.195
1.989,0.445,-0.33
1.933,0.471,-0.031
1.949,0.377,-0.152
1.935,0.412,0.068
1.929,0.435,0.113
1.964,0.415,-0.213
1.911,0.461,0.208
1.904,0.505,0.204
1.795,0.512,0.341
1.695,0.538,0.123
1.573,0.555,0.338
1.48,0.594,0.023
1.378,0.602,-0.166
1.206,0.666,-0.466
0.895,0.403,-0.159
0.149,0.454,-0.223
0.169,0.476,-0.159
0.131,0.543,0.05
0.184,0.498,-0.149
0.19,0.558,-0.106
0.271,0.653,0.042
0.29,0.784,-0.221
0.423,0.894,-0.297
0.56,0.845,-0.206
0.325,0.887,-0.303
0.338,1.926,0.328
0.361,2.111,0.272
0.384,2.552,0.153
0.377,2.541,-0.125
0.341,2.568,-0.18
0.369,2.532,-0.285
0.338,2.552,-0.249
0.366,2.528,-0.274
0.344,2.548,-0.283
0.375,2.545,-0.261
0.377,2.686,-0.219
0.412,2.835,-0.33
0.469,2.98,-0.354
0.428,3.145,-0.236
0.467,3.344,-0.273
0.405,3.55,-0.335
0.742,4.708,0.175
0.673,4.692,0.107
0.716,4.693,0.219
0.902,4.731,0.005
0.91,4.687,0.078
1.202,4.554,0.375
1.651,4.734,0.267
1.895,4.83,0.153
2.517,4.818,-0.062
2.569,4.784,0.225
2.713,4.77,-0.02
2.947,4.785,-0.202
3.172,4.801,0.007
3.391,4.77,-0.069
3.482,4.758,-0.308
3.613,4.61,-0.164
3.664,4.484,-0.294
3.533,3.801,-0.412
3.607,3.73,-0.086
3.642,3.477,0.242
3.717,3.36,0.161
3.541,3.05,0.35
3.809,2.526,0.222
3.658,1.888,-0.28
3.647,1.769,-0.272
3.792,1.74,-0.279
3.404,1.834,-0.331
3.234,1.38,-0.358
3.222,1.193,-0.274
3.347,1.172,0.169
3.366,1.044,0.097
3.444,0.846,-0.1
3.426,0.659,0.191
3.444,0.51,0.054
3.347,0.388,0.25
3.159,0.486,0.388
2.999,0.517,0.557
2.711,0.474,0.422
2.558,0.434,0.451
2.375,0.488,-0.025
2.257,0.608,-0.38
2.171,0.559,0.096
1.965,0.639,-0.262
1.823,0.752,0.236
1.693,0.674,-0.162
1.511,0.805,-0.517
1.287,0.902,-0.506
1.088,1.007,-0.639
0.955,1.041,-0.659
1.017,0.865,-0.622
0.871,1.162,-0.539
0.78,1.207,-0.592
0.727,1.255,-0.302
0.706,1.318,0.068
0.519,1.408,0.284
0.423,1.498,0.311
0.335,1.531,0.42
0.233,1.576,0.417
