x,y,ax,ay,az,gx,gy,gz,mx,my,mz
0.0,0.0,-0.02,0.02,0.97,0.24,-0.18,-0.67,0.0,0.0,0.0
0.0,0.0,-0.04,0.02,0.97,1.28,0.61,-8.42,0.0,0.0,0.0
0.0,0.0,0.03,0.01,0.96,2.01,0.37,-22.22,0.0,0.0,0.0
0.0,0.0,-0.2,-0.08,0.92,4.27,5.07,-51.15,0.0,0.0,0.0
0.0,0.0,-0.11,-0.04,0.83,4.94,11.96,-106.32,0.0,0.0,0.0
0.0,0.0,0.08,-0.04,0.8,11.84,2.87,-159.12,0.0,0.0,0.0
0.0,0.0,-0.14,0.09,1.28,2.5,-7.93,-190.86,0.0,0.0,0.0
0.0,0.0,0.12,0.05,0.98,14.59,-17.76,-198.67,0.0,0.0,0.0
0.0,0.0,0.1,0.1,0.91,14.59,-11.78,-190.98,0.0,0.0,0.0
0.0,0.0,0.14,-0.02,0.84,8.73,-5.07,-146.42,0.0,0.0,0.0
0.0,0.0,0.13,-0.09,0.68,-9.58,-8.61,-64.09,0.0,0.0,0.0
0.0,0.0,0.03,0.02,0.98,-0.06,0.06,3.97,0.0,0.0,0.0
0.0,0.0,-0.03,-0.0,0.97,0.55,-1.34,-0.55,0.0,0.0,0.0
0.0,0.0,-0.02,0.02,0.98,0.61,0.31,12.88,0.0,0.0,0.0
0.0,0.0,0.06,0.01,0.98,1.46,-8.73,81.24,0.0,0.0,0.0
0.0,0.0,-0.06,-0.07,0.92,-6.96,-1.89,109.68,0.0,0.0,0.0
0.0,0.0,-0.05,0.05,0.99,-4.94,6.47,111.02,0.0,0.0,0.0
0.0,0.0,0.08,0.03,1.04,1.46,-2.32,77.39,0.0,0.0,0.0
0.0,0.0,-0.06,0.04,0.92,-5.62,2.44,34.36,0.0,0.0,0.0
0.0,0.0,-0.01,0.04,0.94,-1.95,-1.53,52.49,0.0,0.0,0.0
0.0,0.0,0.05,0.03,0.83,-6.23,4.82,126.34,0.0,0.0,0.0
0.0,0.0,-0.0,-0.0,0.85,2.99,14.04,132.75,0.0,0.0,0.0
0.0,0.0,-0.13,0.01,0.88,6.71,-11.96,141.85,0.0,0.0,0.0
0.0,0.0,-0.31,0.19,1.16,4.52,2.5,130.43,0.0,0.0,0.0
0.0,0.0,-0.15,0.02,1.12,18.07,3.91,115.48,0.0,0.0,0.0
0.0,0.0,-0.16,-0.03,1.18,-2.93,9.89,54.02,0.0,0.0,0.0
0.0,0.0,0.01,0.01,0.97,-0.06,-1.71,-0.92,0.0,0.0,0.0
0.0,0.0,-0.03,0.02,0.97,0.37,0.12,-1.53,0.0,0.0,0.0
0.0,0.0,-0.05,0.03,0.97,1.95,-0.85,-16.85,0.0,0.0,0.0
0.0,0.0,0.03,0.04,0.98,1.77,0.49,-32.47,0.0,0.0,0.0
0.0,0.0,0.06,-0.0,0.87,15.44,-9.64,-98.51,0.0,0.0,0.0
0.0,0.0,-0.23,-0.09,1.38,-7.14,1.95,-154.3,0.0,0.0,0.0
