Sample,Time (ms),ESP32_X,ESP32_Y,UWB_QF,ESP32_Ax,ESP32_Ay,ESP32_Az,ESP32_Gx,ESP32_Gy,ESP32_Gz,ESP32_Mx,ESP32_My,ESP32_Mz,Robotat_X_mm,Robotat_Y_mm,Robotat_Z_mm,Robotat_Roll,Robotat_Pitch,Robotat_Yaw
35,4510.961599997245,1532.0,1173.0,90.0,0.02,-0.03,-1.0,-0.16,0.17,-0.04,69.14,59.96,-4.53,-416.63703322410583,-1431.0951232910156,229.77343201637268,-1.1648387094576156,-1.3536426367949006,41.66224639566309
36,4614.39080000855,1542.0,1158.0,89.0,0.02,-0.03,-1.0,-0.34,0.17,0.14,69.14,59.96,-4.53,-416.6353940963745,-1431.0925006866455,229.77645695209503,-1.160036006286704,-1.351237341095696,41.65763299253488
37,4718.066600005841,1552.0,1183.0,88.0,0.02,-0.03,-0.99,-0.16,0.23,-0.04,69.14,59.96,-3.4,-416.6414737701416,-1431.1000108718872,229.7682762145996,-1.1650576810441047,-1.346103036033784,41.665055829874696
38,6183.8712000026135,1563.0,1178.0,95.0,0.02,-0.03,-0.99,-0.22,-0.02,-0.04,67.97,61.14,-4.53,-416.63768887519836,-1431.0954809188843,229.7501564025879,-1.1676772696544715,-1.3283841681723534,41.65931279688053
39,6287.215999996988,1558.0,1200.0,94.0,0.02,-0.03,-1.0,-0.1,0.53,0.02,67.97,63.49,-4.53,-416.62606596946716,-1431.099534034729,229.763001203537,-1.1708935418513486,-1.3247268198391948,41.65955037213033
40,6390.014000004157,1570.0,1213.0,83.0,0.02,-0.03,-1.0,-0.04,0.35,0.08,66.8,58.79,-3.4,-416.6359305381775,-1431.099534034729,229.77106273174286,-1.1701441226309561,-1.3327244759625976,41.66179267589776
41,6493.627300005755,1569.0,1202.0,91.0,0.02,-0.03,-1.0,-0.16,0.23,0.2,66.8,58.79,-3.4,-416.6279435157776,-1431.105613708496,229.74970936775208,-1.17024878698351,-1.3297360062217725,41.65782687371448
42,6611.036400005105,1565.0,1181.0,88.0,0.02,-0.03,-0.99,-0.1,0.11,0.02,66.8,58.79,-3.4,-416.63044691085815,-1431.0966730117798,229.76578772068024,-1.1720400990978144,-1.3163485908760342,41.65973167954279
43,6713.821800003643,1564.0,1159.0,90.0,0.02,-0.03,-0.99,-0.22,0.35,0.02,69.14,62.32,-4.53,-416.6276752948761,-1431.1015605926514,229.7665774822235,-1.170329796831367,-1.3194135376090141,41.66027078934735
44,6817.122799999197,1546.0,1183.0,89.0,0.02,-0.03,-1.0,-0.28,0.11,-0.04,66.8,62.32,-3.4,-416.62800312042236,-1431.1026334762573,229.7620177268982,-1.1682180906278108,-1.3194080489435527,41.66328001836848
45,6921.364900001208,1546.0,1171.0,87.0,0.02,-0.03,-0.99,-0.1,0.29,0.2,66.8,61.14,-2.27,-416.62776470184326,-1431.0927391052246,229.7709733247757,-1.1668817492757921,-1.3163137636201538,41.652667608704945
46,7068.835099998978,1550.0,1152.0,85.0,0.02,-0.03,-1.0,-0.22,0.29,0.08,65.62,59.96,-5.66,-416.62323474884033,-1431.0986995697021,229.75485026836395,-1.1630356728312268,-1.3341956066332752,41.660517281561305
47,7224.02150000562,1574.0,1155.0,90.0,0.02,-0.03,-1.0,-0.16,0.17,-0.04,69.14,63.49,-4.53,-416.6203737258911,-1431.106448173523,229.7641783952713,-1.1695908745091732,-1.3198883573192655,41.662876269331356
48,7326.869800002896,1568.0,1149.0,90.0,0.02,-0.03,-0.99,-0.34,0.04,-0.1,67.97,63.49,-5.66,-416.61930084228516,-1431.0954809188843,229.74158823490143,-1.1661548787444893,-1.3068008053894076,41.66089461790788
49,7433.620399999199,1565.0,1138.0,87.0,0.02,-0.03,-0.99,-0.4,0.29,-0.04,67.97,63.49,-5.66,-416.6225790977478,-1431.0863018035889,229.77307438850403,-1.1771709626763711,-1.311739047759578,41.65817040379753
50,7739.549699996132,1558.0,1139.0,87.0,0.02,-0.03,-0.99,-0.16,0.29,-0.04,66.8,61.14,-5.66,-416.62463545799255,-1431.0985803604126,229.7559380531311,-1.1669853709085585,-1.3001496188207113,41.655532169396956
51,7842.699700006051,1565.0,1136.0,90.0,0.02,-0.03,-1.0,0.02,0.23,0.02,69.14,61.14,-3.4,-416.6076183319092,-1431.104063987732,229.74331676959991,-1.1770675040678726,-1.2181495329671725,41.651405725374005
52,7946.453299999121,1559.0,1124.0,85.0,0.02,-0.03,-1.0,-0.16,0.04,0.14,69.14,61.14,-3.4,-416.60603880882263,-1431.107759475708,229.7345995903015,-1.1750561420569876,-1.2505796322028715,41.65205076540583
53,8053.290600000764,1544.0,1147.0,85.0,0.02,-0.03,-1.0,-0.04,0.04,-0.04,65.62,63.49,-6.8,-416.6155457496643,-1431.1007261276245,229.7694832086563,-1.1703467566564711,-1.3272926074247324,41.662448078022926
54,8157.3921000090195,1555.0,1144.0,91.0,0.02,-0.03,-1.0,-0.46,0.23,0.26,69.14,62.32,-5.66,-416.60526394844055,-1431.1089515686035,229.74400222301483,-1.1776003563923934,-1.2119300485309856,41.6493106831644
55,8260.766899998998,1560.0,1146.0,92.0,0.02,-0.03,-1.0,-0.4,0.23,0.08,67.97,58.79,-5.66,-416.62538051605225,-1431.0957193374634,229.76070642471313,-1.1649557243570947,-1.2927728346791327,41.65451547923824
56,8365.468600008171,1556.0,1162.0,94.0,0.02,-0.03,-1.0,-0.22,0.23,0.26,67.97,61.14,-5.66,-416.62824153900146,-1431.0961961746216,229.76036369800568,-1.1691197803213744,-1.3202836385845413,41.65828131461016
57,9681.905500008725,1554.0,1135.0,96.0,0.02,-0.03,-1.0,-0.1,0.11,-0.1,69.14,62.32,-2.27,-416.62999987602234,-1431.0983419418335,229.76769506931305,-1.1594786438670246,-1.3093978353278493,41.66401430918147
