1116.824: started location data observation of C6:8E:82:5A:0A:06
1119.609: 0xâ€¦D31C location data: position: x=868 y=81 z=1214 q=55; distances: D286 distance=Distance{length=812, quality=100}, 57B0 distance=Distance{length=4080, quality=100}, 47B2 distance=Distance{length=5354, quality=100}, 151A distance=Distance{length=4759, quality=100}
1119.710: 0xâ€¦D31C location data: position: x=939 y=50 z=1172 q=57; distances: D286 distance=Distance{length=737, quality=100}, 151A distance=Distance{length=4698, quality=100}, 57B0 distance=Distance{length=4014, quality=100}, 47B2 distance=Distance{length=5387, quality=100}
1119.810: 0xâ€¦D31C location data: position: x=1019 y=45 z=1123 q=59; distances: D286 distance=Distance{length=864, quality=100}, 151A distance=Distance{length=4740, quality=100}, 57B0 distance=Distance{length=3981, quality=100}, 47B2 distance=Distance{length=5265, quality=100}
1119.910: 0xâ€¦D31C location data: position: x=1042 y=122 z=1067 q=65; distances: D286 distance=Distance{length=913, quality=100}, 151A distance=Distance{length=4750, quality=100}, 57B0 distance=Distance{length=3743, quality=100}, 47B2 distance=Distance{length=5242, quality=100}
1120.010: 0xâ€¦D31C location data: position: x=1111 y=97 z=1061 q=60; distances: D286 distance=Distance{length=895, quality=100}, 151A distance=Distance{length=4675, quality=100}, 57B0 distance=Distance{length=4000, quality=100}, 47B2 distance=Distance{length=5228, quality=100}
1120.109: 0xâ€¦D31C location data: distances: D286 distance=Distance{length=937, quality=100}, 151A distance=Distance{length=4656, quality=100}, 57B0 distance=Distance{length=3948, quality=100}, 47B2 distance=Distance{length=4993, quality=100}
1120.210: 0xâ€¦D31C location data: position: x=1180 y=131 z=1090 q=62; distances: D286 distance=Distance{length=942, quality=100}, 57B0 distance=Distance{length=3808, quality=100}, 47B2 distance=Distance{length=5017, quality=100}, 151A distance=Distance{length=4590, quality=100}
1120.311: 0xâ€¦D31C location data: position: x=1239 y=183 z=1061 q=61; distances: D286 distance=Distance{length=1049, quality=100}, 151A distance=Distance{length=4417, quality=100}, 57B0 distance=Distance{length=3738, quality=100}, 47B2 distance=Distance{length=4933, quality=100}
1120.409: 0xâ€¦D31C location data: position: x=1295 y=228 z=1007 q=60; distances: D286 distance=Distance{length=1143, quality=100}, 151A distance=Distance{length=4661, quality=100}, 57B0 distance=Distance{length=3752, quality=100}, 47B2 distance=Distance{length=4900, quality=100}
1120.510: 0xâ€¦D31C location data: position: x=1347 y=308 z=992 q=58; distances: D286 distance=Distance{length=1292, quality=100}, 151A distance=Distance{length=4590, quality=100}, 57B0 distance=Distance{length=3677, quality=100}, 47B2 distance=Distance{length=4825, quality=100}
1120.610: 0xâ€¦D31C location data: position: x=1341 y=403 z=953 q=59; distances: D286 distance=Distance{length=1334, quality=100}, 151A distance=Distance{length=4529, quality=100}, 57B0 distance=Distance{length=3602, quality=100}, 47B2 distance=Distance{length=4966, quality=100}
1120.710: 0xâ€¦D31C location data: position: x=1375 y=487 z=918 q=56; distances: D286 distance=Distance{length=1489, quality=100}, 151A distance=Distance{length=4464, quality=100}, 57B0 distance=Distance{length=3616, quality=100}, 47B2 distance=Distance{length=4825, quality=100}
1120.810: 0xâ€¦D31C location data: position: x=1420 y=557 z=1020 q=58; distances: D286 distance=Distance{length=1442, quality=100}, 151A distance=Distance{length=4562, quality=100}, 57B0 distance=Distance{length=3564, quality=100}, 47B2 distance=Distance{length=4708, quality=100}
1120.911: 0xâ€¦D31C location data: position: x=1439 y=649 z=1048 q=60; distances: D286 distance=Distance{length=1597, quality=100}, 151A distance=Distance{length=4553, quality=100}, 57B0 distance=Distance{length=3508, quality=100}, 47B2 distance=Distance{length=4750, quality=100}
1121.010: 0xâ€¦D31C location data: position: x=1451 y=714 z=1001 q=56; distances: D286 distance=Distance{length=1456, quality=100}, 151A distance=Distance{length=4398, quality=100}, 57B0 distance=Distance{length=3358, quality=100}, 47B2 distance=Distance{length=4595, quality=100}
1121.111: 0xâ€¦D31C location data: position: x=1462 y=775 z=1023 q=60; distances: D286 distance=Distance{length=1522, quality=100}, 151A distance=Distance{length=4736, quality=100}, 57B0 distance=Distance{length=3382, quality=100}, 47B2 distance=Distance{length=4633, quality=100}
1121.225: 0xâ€¦D31C location data: position: x=1483 y=819 z=968 q=58; distances: D286 distance=Distance{length=1545, quality=100}, 151A distance=Distance{length=4759, quality=100}, 57B0 distance=Distance{length=3353, quality=100}, 47B2 distance=Distance{length=4529, quality=100}
1121.311: 0xâ€¦D31C location data: position: x=1494 y=891 z=1023 q=66; distances: D286 distance=Distance{length=1611, quality=100}, 151A distance=Distance{length=4778, quality=100}, 57B0 distance=Distance{length=3250, quality=100}, 47B2 distance=Distance{length=4501, quality=100}
1121.411: 0xâ€¦D31C location data: position: x=1501 y=951 z=1094 q=67; distances: D286 distance=Distance{length=1606, quality=100}, 151A distance=Distance{length=4764, quality=100}, 57B0 distance=Distance{length=3222, quality=100}, 47B2 distance=Distance{length=4483, quality=100}
1121.511: 0xâ€¦D31C location data: position: x=1511 y=991 z=1104 q=66; distances: D286 distance=Distance{length=1634, quality=100}, 57B0 distance=Distance{length=3260, quality=100}, 151A distance=Distance{length=4759, quality=100}, 47B2 distance=Distance{length=4492, quality=100}
1121.611: 0xâ€¦D31C location data: position: x=1527 y=1053 z=1048 q=67; distances: D286 distance=Distance{length=1798, quality=100}, 57B0 distance=Distance{length=3199, quality=100}, 151A distance=Distance{length=4750, quality=100}, 47B2 distance=Distance{length=4407, quality=100}
1121.711: 0xâ€¦D31C location data: position: x=1553 y=1123 z=1080 q=74; distances: D286 distance=Distance{length=1831, quality=100}, 57B0 distance=Distance{length=3101, quality=100}, 151A distance=Distance{length=4665, quality=100}, 47B2 distance=Distance{length=4276, quality=100}
1121.811: 0xâ€¦D31C location data: position: x=1569 y=1180 z=1012 q=70; distances: D286 distance=Distance{length=1817, quality=100}, 57B0 distance=Distance{length=3030, quality=100}, 151A distance=Distance{length=4637, quality=100}, 47B2 distance=Distance{length=4215, quality=100}
1121.912: 0xâ€¦D31C location data: position: x=1572 y=1270 z=1015 q=76; distances: D286 distance=Distance{length=1958, quality=100}, 57B0 distance=Distance{length=2918, quality=100}, 151A distance=Distance{length=4755, quality=100}, 47B2 distance=Distance{length=4197, quality=100}
1122.011: 0xâ€¦D31C location data: position: x=1609 y=1322 z=982 q=76; distances: D286 distance=Distance{length=1953, quality=100}, 57B0 distance=Distance{length=2960, quality=100}, 151A distance=Distance{length=4764, quality=100}, 47B2 distance=Distance{length=4042, quality=100}
1122.110: 0xâ€¦D31C location data: position: x=1620 y=1379 z=963 q=77; distances: D286 distance=Distance{length=1943, quality=100}, 57B0 distance=Distance{length=2862, quality=100}, 151A distance=Distance{length=4764, quality=100}, 47B2 distance=Distance{length=4047, quality=100}
1122.211: 0xâ€¦D31C location data: position: x=1641 y=1451 z=1047 q=85; distances: D286 distance=Distance{length=2093, quality=100}, 57B0 distance=Distance{length=2843, quality=100}, 151A distance=Distance{length=4820, quality=100}, 47B2 distance=Distance{length=4000, quality=100}
1122.311: 0xâ€¦D31C location data: position: x=1666 y=1525 z=1110 q=87; distances: D286 distance=Distance{length=2173, quality=100}, 57B0 distance=Distance{length=2796, quality=100}, 151A distance=Distance{length=4792, quality=100}, 47B2 distance=Distance{length=3925, quality=100}
1122.409: 0xâ€¦D31C location data: position: x=1698 y=1583 z=1026 q=81; distances: D286 distance=Distance{length=2215, quality=100}, 57B0 distance=Distance{length=2796, quality=100}, 151A distance=Distance{length=4816, quality=100}, 47B2 distance=Distance{length=3832, quality=100}
1122.510: 0xâ€¦D31C location data: position: x=1701 y=1661 z=964 q=81; distances: D286 distance=Distance{length=2252, quality=100}, 57B0 distance=Distance{length=2637, quality=100}, 151A distance=Distance{length=4961, quality=100}, 47B2 distance=Distance{length=3818, quality=100}
1122.610: 0xâ€¦D31C location data: position: x=1709 y=1746 z=1012 q=90; distances: D286 distance=Distance{length=2370, quality=100}, 57B0 distance=Distance{length=2599, quality=100}, 151A distance=Distance{length=4937, quality=100}, 47B2 distance=Distance{length=3790, quality=100}
1122.710: 0xâ€¦D31C location data: position: x=1725 y=1828 z=965 q=86; distances: D286 distance=Distance{length=2412, quality=100}, 57B0 distance=Distance{length=2524, quality=100}, 151A distance=Distance{length=4947, quality=100}, 47B2 distance=Distance{length=3658, quality=100}
1122.811: 0xâ€¦D31C location data: position: x=1717 y=1910 z=922 q=85; distances: D286 distance=Distance{length=2431, quality=100}, 57B0 distance=Distance{length=2421, quality=100}, 151A distance=Distance{length=4928, quality=100}, 47B2 distance=Distance{length=3686, quality=100}
1122.910: 0xâ€¦D31C location data: position: x=1721 y=1991 z=876 q=83; distances: D286 distance=Distance{length=2529, quality=100}, 57B0 distance=Distance{length=2402, quality=100}, 151A distance=Distance{length=5012, quality=100}, 47B2 distance=Distance{length=3621, quality=100}
1123.010: 0xâ€¦D31C location data: position: x=1718 y=2081 z=837 q=81; distances: D286 distance=Distance{length=2609, quality=100}, 57B0 distance=Distance{length=2304, quality=100}, 151A distance=Distance{length=5073, quality=100}, 47B2 distance=Distance{length=3588, quality=100}
1123.111: 0xâ€¦D31C location data: position: x=1730 y=2139 z=968 q=92; distances: D286 distance=Distance{length=2614, quality=100}, 57B0 distance=Distance{length=2360, quality=100}, 151A distance=Distance{length=5167, quality=100}, 47B2 distance=Distance{length=3583, quality=100}
1123.211: 0xâ€¦D31C location data: position: x=1734 y=2215 z=1072 q=90; distances: D286 distance=Distance{length=2707, quality=100}, 57B0 distance=Distance{length=2252, quality=100}, 151A distance=Distance{length=5101, quality=100}, 47B2 distance=Distance{length=3532, quality=100}
1123.329: 0xâ€¦D31C location data: position: x=1740 y=2278 z=1051 q=85; distances: 57B0 distance=Distance{length=2191, quality=100}, D286 distance=Distance{length=2670, quality=100}, 47B2 distance=Distance{length=3447, quality=100}, 151A distance=Distance{length=5228, quality=100}
1123.413: 0xâ€¦D31C location data: position: x=1723 y=2358 z=1023 q=81; distances: 57B0 distance=Distance{length=2051, quality=100}, D286 distance=Distance{length=2740, quality=100}, 47B2 distance=Distance{length=3466, quality=100}, 151A distance=Distance{length=5251, quality=100}
1123.511: 0xâ€¦D31C location data: position: x=1700 y=2446 z=957 q=74; distances: 57B0 distance=Distance{length=1994, quality=100}, D286 distance=Distance{length=2852, quality=100}, 47B2 distance=Distance{length=3485, quality=100}, 151A distance=Distance{length=5289, quality=100}
