Sample;Time (ms);ESP32_X;ESP32_Y;UWB_QF;ESP32_Ax;ESP32_Ay;ESP32_Az;ESP32_Gx;ESP32_Gy;ESP32_Gz;ESP32_Mx;ESP32_My;ESP32_Mz;Robotat_X_mm;Robotat_Y_mm;Robotat_Z_mm;Robotat_Roll;Robotat_Pitch;Robotat_Yaw
2;100.9763;2674;1053;94;0.03;-0.02;-1;-0.04;0.17;0.26;57.42;62.32;-22.66;690.1145577;-1451.333761;231.8893522;0.214680465;1.304592121;45.30983732
3;204.758;2671;1083;93;0.03;-0.01;-1.02;-0.04;0.23;-0.22;57.42;62.32;-22.66;690.1212335;-1451.332927;231.9140583;0.228425853;1.365043592;45.3091859
4;308.7192;2677;1060;93;0.03;-0.02;-1.01;-0.22;0.23;-0.1;58.59;63.49;-22.66;690.1059747;-1451.326132;231.8742573;0.214757392;1.338213959;45.30938871
5;412.65;2677;1083;93;0.03;-0.01;-1;0.02;0.35;-0.29;59.77;62.32;-21.52;690.1267171;-1451.328754;231.8808883;0.21129236;1.324048167;45.31208695
6;515.5359;2667;1067;93;0.03;-0.02;-1;-0.52;0.11;0.2;58.59;61.14;-22.66;690.1078224;-1451.324582;231.8959832;0.206160992;1.337660362;45.30788021
7;619.2551;2672;1062;93;0.02;-0.01;-1.02;-0.34;-0.08;-0.1;58.59;63.49;-21.52;690.1158094;-1451.319575;231.8803519;0.213322026;1.333609568;45.31033759
8;723.2751;2672;1062;93;0.03;-0.02;-1;-0.04;-0.14;0.02;58.59;64.67;-23.79;690.138042;-1451.336265;231.8820804;0.219833024;1.33660342;45.30996059
9;827.1353;2668;1056;93;0.09;-0.02;-0.93;38.84;4.32;30.05;55.08;63.49;-26.05;690.1203394;-1451.3309;231.8821549;0.214545648;1.308996102;45.31589343
10;930.8133;2668;1056;89;0.04;-0.02;-0.94;-12;28.37;57.21;67.97;124.63;-14.73;690.1417971;-1451.343179;231.8788469;0.219054487;1.348496217;45.30984793
11;1034.0028;2687;1077;73;0.04;-0.02;-0.95;39.58;21.04;-21.22;66.8;128.16;-15.86;690.1260614;-1451.337099;231.8872064;0.212776016;1.34368015;45.30922833
12;1135.8182;2681;1077;69;0.04;-0.02;-0.93;-34.7;-12.83;-27.75;75;91.71;-7.93;690.125525;-1451.335311;231.8777293;0.214873571;1.336181503;45.31166626
13;1239.3922;2895;1097;83;0.04;-0.02;-1;4.6;10.48;-33.49;87.89;117.58;7.93;690.1384592;-1451.337337;231.8647802;0.223953919;1.350287466;45.31574544
