Sample,Time (ms),ESP32_X,ESP32_Y,UWB_QF,ESP32_Ax,ESP32_Ay,ESP32_Az,ESP32_Gx,ESP32_Gy,ESP32_Gz,ESP32_Mx,ESP32_My,ESP32_Mz,Robotat_X_mm,Robotat_Y_mm,Robotat_Z_mm,Robotat_Roll,Robotat_Pitch,Robotat_Yaw
2,101.76710000087041,3371.0,3509.0,57.0,0.02,-0.02,-0.99,-0.16,0.29,0.2,56.25,42.33,-3.4,1396.2411880493164,964.3656611442566,227.79607772827148,-0.7804592141539218,-1.218071608802167,54.635320429827615
3,204.90360000985675,3374.0,3498.0,53.0,0.02,-0.02,-1.0,-0.1,0.23,0.14,53.91,47.03,-3.4,1396.2467908859253,964.3566608428955,227.80577838420868,-0.7836635134026982,-1.2238568509169299,54.635829447214945
4,308.4986000030767,3428.0,3588.0,61.0,0.02,-0.02,-0.99,-0.34,0.35,-0.16,56.25,45.86,-1.13,1396.2700366973877,964.3446803092957,227.80725359916687,-0.7880621593913969,-1.2151776480176002,54.64697372750298
5,412.5155000074301,3365.0,3503.0,55.0,0.03,-0.02,-1.0,0.02,0.17,0.02,56.25,45.86,-2.27,1396.2620496749878,964.3537998199463,227.79875993728638,-0.7862334216256417,-1.2202600165516666,54.64034249053176
6,518.2213000080083,3361.0,3510.0,60.0,0.02,-0.02,-1.0,-0.1,0.11,0.02,53.91,45.86,-3.4,1396.256685256958,964.3465876579285,227.80856490135193,-0.7797598298085548,-1.2077734804169866,54.63524886295552
7,621.8175000103656,3404.0,3489.0,51.0,0.02,-0.02,-1.0,-0.16,0.11,-0.04,53.91,44.68,-3.4,1396.2643146514893,964.3653631210327,227.8069406747818,-0.7873972353911788,-1.2038618370659675,54.63928504617371
8,725.7488000032026,3442.0,3566.0,53.0,0.03,-0.02,-0.99,-0.22,0.41,0.02,56.25,45.86,-2.27,1396.2708711624146,964.3531441688538,227.80877351760864,-0.7791517203667417,-1.2335064021999564,54.64123855867895
9,1283.6666000075638,3425.0,3577.0,60.0,0.03,-0.02,-1.0,-0.22,0.17,-0.1,55.08,45.86,-2.27,1396.246314048767,964.3424153327942,227.80539095401764,-0.7850048874161897,-1.230169489838829,54.626234022183446
10,1509.042400008184,3409.0,3507.0,55.0,0.02,-0.02,-0.99,-0.16,0.23,0.08,55.08,44.68,-3.4,1396.254301071167,964.3611907958984,227.81457006931305,-0.7961019517461781,-1.1866531667187223,54.63720332736791
11,1695.853500001249,3410.0,3531.0,58.0,0.02,-0.02,-1.0,-0.16,0.41,0.08,55.08,45.86,0.0,1396.2653875350952,964.3538594245911,227.80591249465942,-0.7913600864773734,-1.2195100719151433,54.63577279661148
