Sample;Time (ms);ESP32_X;ESP32_Y;UWB_QF;ESP32_Ax;ESP32_Ay;ESP32_Az;ESP32_Gx;ESP32_Gy;ESP32_Gz;ESP32_Mx;ESP32_My;ESP32_Mz;Robotat_X_mm;Robotat_Y_mm;Robotat_Z_mm;Robotat_Roll;Robotat_Pitch;Robotat_Yaw
2;101.7451;1505;3469;80;0.02;-0.02;-0.99;-0.22;0.17;0.08;55.08;39.98;98.55;-407.6711833;1007.421851;222.1391201;-0.693197284;-1.683987048;58.11000664
3;204.0198;1526;3476;77;0.02;-0.02;-1;-0.28;0.17;-0.04;52.73;42.33;96.29;-407.654196;1007.423878;222.1191823;-0.697947991;-1.686178561;58.10389258
4;306.7259;1500;3501;88;0.03;-0.02;-0.99;-0.04;0.11;0.02;55.08;38.8;96.29;-407.6646566;1007.424355;222.1146524;-0.706754576;-1.668323284;58.11596265
5;410.65;1519;3501;81;0.02;-0.02;-0.99;-0.34;0.17;0.02;55.08;41.15;97.42;-407.6692164;1007.422805;222.1202403;-0.707679252;-1.670826176;58.11238185
6;514.7609;1516;3522;84;0.02;-0.02;-0.99;-0.1;0.23;0.02;56.25;42.33;97.42;-407.6834321;1007.430315;222.126767;-0.699001806;-1.676790782;58.11915637
7;618.0089;1525;3486;76;0.02;-0.02;-1;-0.1;0.23;0.08;53.91;41.15;96.29;-407.6862633;1007.425547;222.1331298;-0.707038672;-1.682666815;58.11687769
8;721.7257;1507;3492;82;0.02;-0.02;-1;-0.16;0.04;0.08;52.73;42.33;97.42;-407.6625407;1007.425308;222.1333236;-0.703005508;-1.659811817;58.12297866
9;824.1505;1517;3502;76;0.02;-0.02;-1;-0.34;0.29;0.08;56.25;41.15;95.16;-407.6814651;1007.427931;222.1209556;-0.700033932;-1.670043625;58.11430732
10;926.1854;1525;3474;82;0.02;-0.02;-1;-0.16;0.17;0.32;55.08;43.5;95.16;-407.6838195;1007.423997;222.1161276;-0.699612543;-1.682649798;58.11073156
11;1029.4956;1526;3453;82;0.02;-0.02;-1;-0.22;0.23;0.2;53.91;41.15;96.29;-407.6792896;1007.432103;222.1222669;-0.697408009;-1.686039863;58.11585035
12;1132.6664;1531;3485;81;0.03;-0.02;-1;-0.22;0.29;-0.1;53.91;41.15;97.42;-407.6674879;1007.434726;222.1341729;-0.711504553;-1.688459806;58.12353413
13;1238.1948;1528;3464;81;0.03;-0.02;-1;-0.16;0.29;-0.04;51.56;42.33;96.29;-407.6721072;1007.431865;222.132057;-0.694569829;-1.67742213;58.11048979
14;1342.2672;1498;3486;78;0.02;-0.02;-0.99;-0.28;0.35;0.14;57.42;41.15;97.42;-407.6904655;1007.431149;222.1179008;-0.703343722;-1.670875843;58.11859208
15;1445.9363;1515;3434;82;0.02;-0.02;-1;-0.4;0.11;-0.16;55.08;42.33;99.69;-407.669276;1007.436991;222.1308798;-0.702466135;-1.68923809;58.11912712
16;1549.7158;1555;3470;84;0.03;0;-0.97;1.06;-49.7;-1.93;52.73;42.33;98.55;-407.6755047;1007.44009;222.1435755;-0.697423894;-1.671890871;58.11543623
17;1654.1652;1423;3847;76;0.03;-0.04;-0.89;31.89;-3.74;-16.83;78.52;49.38;-9.06;-407.687068;1007.4296;222.1228778;-0.704811806;-1.681599879;58.11328564
18;1757.9519;1495;3576;85;0.03;-0.13;-1.12;2.59;-8.62;-82.93;85.55;63.49;-7.93;-407.6882005;1007.440209;222.1188694;-0.699750964;-1.650750684;58.11033329
19;1863.0322;1491;3481;84;0.03;-0.03;-1;-0.16;0.17;0.2;85.55;65.84;2.27;-407.6810479;1007.442474;222.147122;-0.703855634;-1.645638177;58.11911254
20;1969.776;1507;3434;88;0.03;-0.03;-0.99;-0.28;0.29;0.02;87.89;63.49;2.27;-407.6733887;1007.444263;222.1195549;-0.704829892;-1.677481836;58.11588357
21;2073.5446;1498;3478;78;0.03;-0.03;-0.99;-0.22;0.29;0.2;85.55;63.49;2.27;-407.6972008;1007.445931;222.131595;-0.697087949;-1.657869351;58.11299626
22;2177.2265;1473;3443;81;0.04;-0.03;-0.99;-0.22;0.17;-0.04;84.37;62.32;3.4;-407.6898992;1007.435083;222.1163809;-0.701602646;-1.695531623;58.11330931
23;2281.6983;1479;3412;85;0.03;-0.03;-1;-0.46;0.29;0.32;85.55;64.67;3.4;-407.6834619;1007.44617;222.1332341;-0.694986373;-1.668538034;58.11542466
24;2539.007;1491;3466;78;0.03;-0.03;-0.99;-0.28;0.23;0.08;85.55;64.67;3.4;-407.6919258;1007.448077;222.1264094;-0.690272125;-1.685884626;58.10730531
25;2642.2156;1491;3474;84;0.03;-0.03;-0.99;-0.46;0.47;-0.1;86.72;67.02;4.53;-407.6859653;1007.435203;222.1129239;-0.705632707;-1.674956517;58.11529435
26;2745.659;1495;3445;74;0.03;-0.03;-1;-0.16;0.41;0.08;85.55;62.32;5.66;-407.6812267;1007.436156;222.1242189;-0.70660033;-1.686662202;58.1143871
27;2867.6319;1498;3455;82;0.03;-0.03;-0.99;-0.28;-0.02;0.02;86.72;61.14;3.4;-407.682389;1007.436037;222.1090347;-0.702163443;-1.687638639;58.11445924
28;2971.6803;1496;3427;81;0.03;-0.03;-0.99;-0.22;0.29;0.14;86.72;61.14;3.4;-407.6931179;1007.44307;222.1191823;-0.704153696;-1.688165034;58.11548103
29;4040.0951;1515;3504;86;0.03;-0.03;-0.99;-0.1;0.23;-0.04;85.55;62.32;2.27;-407.7003598;1007.444501;222.1329957;-0.709409161;-1.705484576;58.11857406
30;4200.3064;1503;3473;84;0.03;-0.03;-1;-0.1;0.23;0.14;85.55;63.49;2.27;-407.7081084;1007.4507;222.1131623;-0.696980812;-1.682104023;58.11366068
31;4303.9425;1495;3451;80;0.03;-0.03;-1;0.02;0.04;0.2;85.55;63.49;2.27;-407.6906145;1007.440686;222.1241593;-0.69836535;-1.681786254;58.11828524
32;4408.6079;1493;3475;88;0.03;-0.03;-1;-0.1;0.53;0.08;86.72;63.49;5.66;-407.6969028;1007.444143;222.1288532;-0.69492227;-1.675691731;58.11123657
33;5540.2621;1458;3399;80;0.03;-0.03;-0.99;-0.04;0.35;0.02;84.37;64.67;4.53;-407.7034295;1007.442474;222.1320719;-0.70643851;-1.675760962;58.11009212
34;5734.1223;1454;3390;75;0.03;-0.03;-1;0.02;0.23;0.2;85.55;63.49;2.27;-407.699734;1007.438183;222.1271694;-0.71072612;-1.68667907;58.11815416
35;5837.642;1469;3415;84;0.04;-0.03;-1;-0.22;0.17;0.26;85.55;63.49;2.27;-407.7109993;1007.450938;222.1162617;-0.695984736;-1.689566205;58.11164336
36;5942.2389;1485;3425;83;0.03;-0.03;-1;-0.16;0.29;-0.16;85.55;63.49;2.27;-407.7090621;1007.448316;222.1118659;-0.705589399;-1.700075937;58.11891949
37;6045.6198;1471;3422;82;0.03;-0.03;-0.99;-0.34;0.35;-0.04;85.55;63.49;2.27;-407.6941609;1007.446885;222.1385092;-0.70176209;-1.669776918;58.11434183
38;6147.7009;1477;3416;79;0.03;-0.03;-1;-0.16;0.04;0.02;85.55;62.32;2.27;-407.7018499;1007.44617;222.1248001;-0.699674982;-1.707837681;58.11880576
39;6251.8227;1461;3454;80;0.03;-0.03;-0.99;-0.1;0.17;0.08;84.37;63.49;2.27;-407.7134728;1007.450819;222.1093923;-0.71168877;-1.699737635;58.11937678
40;6355.7491;1465;3476;95;0.03;-0.03;-0.99;-0.1;0.41;0.14;84.37;63.49;2.27;-407.7026546;1007.452011;222.1092135;-0.714057301;-1.684739662;58.11959631
41;6459.1326;1478;3488;86;0.03;-0.03;-1;-0.16;0.41;-0.04;85.55;64.67;5.66;-407.7003598;1007.453322;222.1347839;-0.70534845;-1.687254903;58.11996345
42;6563.0637;1466;3465;82;0.03;-0.03;-1;-0.22;0.11;-0.04;85.55;61.14;3.4;-407.7081978;1007.437825;222.1176773;-0.716905792;-1.688571824;58.11503167
43;6667.0213;1475;3482;81;0.03;-0.03;-0.99;-0.1;0.29;0.08;86.72;62.32;4.53;-407.713294;1007.444382;222.0992744;-0.709404832;-1.710027247;58.11311252
44;6861.5714;1485;3469;85;0.03;-0.03;-1;-0.22;0.04;-0.16;84.37;62.32;2.27;-407.6988995;1007.44915;222.1252471;-0.713346957;-1.71575676;58.11661216
45;6966.2185;1493;3476;85;0.03;-0.03;-0.99;-0.1;0.11;0.08;83.2;64.67;3.4;-407.7013135;1007.434845;222.1228629;-0.712399055;-1.697886978;58.11567012
46;7070.0506;1503;3501;85;0.03;-0.03;-1;-0.16;0.23;-0.1;85.55;62.32;2.27;-407.7107906;1007.446289;222.106576;-0.710708455;-1.69735518;58.11485957
47;7173.6381;1517;3501;86;0.03;-0.03;-1;-0.28;0.35;0.14;83.2;63.49;2.27;-407.7095091;1007.449031;222.1123725;-0.713971291;-1.701088902;58.11394585
