Sample,Time (ms),ESP32_X,ESP32_Y,UWB_QF,ESP32_Ax,ESP32_Ay,ESP32_Az,ESP32_Gx,ESP32_Gy,ESP32_Gz,ESP32_Mx,ESP32_My,ESP32_Mz,Robotat_X_mm,Robotat_Y_mm,Robotat_Z_mm,Robotat_Roll,Robotat_Pitch,Robotat_Yaw
2,101.81189999275375,2317.0,2872.0,65.0,0.02,-0.03,-1.0,0.02,0.23,-0.29,60.94,-27.04,16.99,376.39206647872925,297.0663011074066,227.53749787807465,-1.1198610550820882,-1.2150223277875352,45.84939852832621
3,205.6620999937877,2279.0,2865.0,72.0,0.02,-0.02,-0.99,-0.22,0.29,0.02,62.11,-27.04,20.39,376.39501690864563,297.07086086273193,227.53550112247467,-1.1209307090547247,-1.2085261803129497,45.846385427631986
4,310.46779999451246,2296.0,2842.0,65.0,0.02,-0.02,-1.0,0.02,0.11,0.02,59.77,-25.87,19.26,376.39227509498596,297.0622479915619,227.53310203552246,-1.1196136521520361,-1.2064540397180743,45.85035784085344
5,414.4144000019878,2315.0,2841.0,68.0,0.02,-0.03,-1.0,-0.22,0.23,-0.04,58.59,-24.69,20.39,376.39525532722473,297.0607280731201,227.53724455833435,-1.1184958752036778,-1.2069554664974067,45.84934742022708
6,518.5219999984838,2307.0,2801.0,90.0,0.02,-0.02,-1.0,-0.16,0.41,-0.16,58.59,-25.87,19.26,376.39325857162476,297.0634698867798,227.53529250621796,-1.1177914813186676,-1.1929973468695134,45.84483443842851
8,724.2344999976922,2243.0,2791.0,69.0,0.02,-0.02,-1.0,-0.22,0.23,0.14,58.59,-25.87,19.26,376.3897120952606,297.0685660839081,227.53344476222992,-1.1179431663412998,-1.2174957494247056,45.84873010225656
9,828.2818000006955,2283.0,2790.0,65.0,0.02,-0.02,-1.0,-0.28,0.47,-0.04,58.59,-25.87,20.39,376.3909637928009,297.0784902572632,227.54018008708954,-1.120649997626535,-1.1985908787202726,45.84941407263833
10,936.2685999949463,2268.0,2802.0,73.0,0.02,-0.02,-0.99,-0.22,0.23,0.08,58.59,-29.39,19.26,376.3970732688904,297.0862090587616,227.53939032554626,-1.1245096623914161,-1.2042295382751442,45.84647739544054
11,1039.8721999954432,2288.0,2850.0,66.0,0.02,-0.03,-0.99,-0.1,0.53,0.08,59.77,-27.04,18.12,376.40321254730225,297.0869541168213,227.54091024398804,-1.1220378723655986,-1.2037689515320045,45.85052349593691
12,1141.7946000001393,2296.0,2869.0,68.0,0.02,-0.03,-0.99,0.02,0.23,-0.04,57.42,-27.04,20.39,376.38553977012634,297.08173871040344,227.5359481573105,-1.1201854963853723,-1.2066103042299954,45.84813776594266
