Sample;Time (ms);ESP32_X;ESP32_Y;UWB_QF;ESP32_Ax;ESP32_Ay;ESP32_Az;ESP32_Gx;ESP32_Gy;ESP32_Gz;ESP32_Mx;ESP32_My;ESP32_Mz;Robotat_X_mm;Robotat_Y_mm;Robotat_Z_mm;Robotat_Roll;Robotat_Pitch;Robotat_Yaw
2;101.5527;1433;4258;46;0.02;-0.02;-1;-0.16;0.29;0.02;106.64;42.33;-21.52;-399.7226954;1840.778351;221.7923552;-0.413915844;-0.252670166;48.31590498
3;205.1336;1451;4256;54;0.02;-0.02;-0.99;-0.46;0.17;0.02;107.81;39.98;-20.39;-399.7092545;1840.767026;221.8022048;-0.415625638;-0.237669087;48.33343936
4;308.6562;1475;4260;63;0.21;-0.07;-0.97;18.03;-26.14;9.05;106.64;41.15;-13.59;-399.7279406;1840.769053;221.8034565;-0.418661542;-0.219657745;48.33248169
5;412.2299;1563;4337;77;0.05;-0.01;-0.94;9.49;4.13;5.15;91.41;63.49;74.77;-399.7224867;1840.766549;221.8045592;-0.412085165;-0.228000184;48.32776897
6;516.5938;1553;4216;81;0.01;-0.01;-0.99;1.73;0.11;0.02;55.08;42.33;94.02;-399.7227252;1840.77704;221.7896879;-0.418466624;-0.279641799;48.31989123
7;619.8351;1527;4206;80;0.02;-0.02;-1;-0.28;-0.08;0.14;53.91;42.33;96.29;-399.7736275;1840.76333;221.736297;-0.487897638;-0.440797674;48.34948097
8;723.0541;1537;4251;82;0.02;-0.02;-0.99;0.15;0.11;0.08;56.25;39.98;97.42;-399.7260034;1840.759516;221.8068838;-0.43124625;-0.24160906;48.33488979
9;827.3535;1536;4229;82;0.03;-0.02;-1;-0.16;0.23;0.02;56.25;43.5;94.02;-399.7252882;1840.75737;221.8303084;-0.403748301;-0.333019023;48.33363449
10;931.7954;1525;4236;87;0.02;-0.02;-1;-0.34;0.47;0.14;53.91;47.03;97.42;-399.7163773;1840.752363;221.809566;-0.414804808;-0.230138946;48.32683823
11;1035.2039;1514;4224;74;0.02;-0.02;-0.99;-0.22;-0.02;-0.04;53.91;43.5;96.29;-399.5956779;1840.672135;221.7917591;-0.416663546;-0.127830796;48.27518151
12;1142.2365;1500;4243;79;0.02;-0.02;-1;-0.4;0.35;0.14;52.73;39.98;96.29;-399.720639;1840.759397;221.7934579;-0.410525795;-0.239651288;48.32578578
13;1245.71;1514;4243;77;0.02;-0.02;-0.99;-0.1;0.23;-0.1;55.08;41.15;95.16;-399.7119963;1840.762019;221.798718;-0.410487229;-0.256874089;48.3318039
14;1349.7781;1517;4265;79;0.02;-0.02;-0.99;-0.04;0.04;0.02;55.08;41.15;97.42;-399.7138441;1840.755105;221.8058854;-0.403682561;-0.226270472;48.32275955
15;1453.9176;1531;4205;89;0.02;-0.02;-1;-0.1;0.17;-0.16;52.73;39.98;97.42;-399.7215331;1840.759754;221.7915058;-0.418362418;-0.265477536;48.3245677
16;1556.2731;1518;4267;84;0.03;-0.02;-1;-0.1;0.17;0.02;56.25;42.33;98.55;-399.713248;1840.769291;221.7978388;-0.414218944;-0.268918427;48.33220052
17;1659.2833;1539;4249;79;0.02;-0.02;-1;-0.22;0.23;0.2;53.91;38.8;97.42;-399.7220397;1840.754628;221.8087763;-0.418486258;-0.256423468;48.32786256
18;1762.4433;1513;4283;80;0.02;-0.02;-1;-0.28;0.41;0.02;53.91;43.5;95.16;-399.5961845;1840.668559;221.7761725;-0.411342937;-0.175106529;48.28286391
19;1865.6132;1559;4286;88;0.02;-0.02;-0.99;-0.1;0.17;-0.04;53.91;41.15;97.42;-399.7373283;1840.75892;221.795857;-0.411158073;-0.24404505;48.32520679
