Sample,Time (ms),ESP32_X,ESP32_Y,UWB_QF,ESP32_Ax,ESP32_Ay,ESP32_Az,ESP32_Gx,ESP32_Gy,ESP32_Gz,ESP32_Mx,ESP32_My,ESP32_Mz,Robotat_X_mm,Robotat_Y_mm,Robotat_Z_mm,Robotat_Roll,Robotat_Pitch,Robotat_Yaw
2,102.00439998880029,3519.0,2097.0,66.0,0.02,-0.03,-1.0,-0.04,0.35,0.02,67.97,43.5,-22.66,1609.2300415039062,-520.7363963127136,234.36102271080017,-1.4347623647209178,-1.0234752339381652,46.5534484310538
3,206.0044999961974,3537.0,2083.0,70.0,0.02,-0.04,-1.0,-0.1,0.41,0.14,67.97,47.03,-23.79,1609.2429161071777,-520.7396149635315,234.3512773513794,-1.4328120279174936,-1.0444209839229255,46.559292354244086
4,308.89319999550935,3540.0,2097.0,78.0,0.02,-0.03,-1.0,-0.22,0.04,0.14,66.8,43.5,-24.92,1609.2381477355957,-520.7392573356628,234.3566119670868,-1.4329395477213538,-1.0230174566346555,46.54618451426656
5,412.171899995883,3505.0,2139.0,89.0,0.02,-0.03,-1.0,-0.16,0.17,0.26,67.97,43.5,-22.66,1609.248399734497,-520.7205414772034,234.35044288635254,-1.4360774653596944,-1.0184748760175406,46.55285520802373
6,516.3289999909466,3508.0,2115.0,63.0,0.02,-0.04,-1.0,-0.04,0.41,-0.04,66.8,43.5,-23.79,1609.2387437820435,-520.7227468490601,234.35088992118835,-1.4337434594873402,-1.0576129397395766,46.55270968815586
7,621.1482999933651,3504.0,2128.0,76.0,0.02,-0.03,-1.0,-0.4,0.35,0.08,67.97,44.68,-23.79,1609.236240386963,-520.7318067550659,234.33968424797058,-1.43327270343179,-1.0338916107453777,46.552545579954334
8,1457.390799987479,3543.0,2081.0,56.0,0.02,-0.03,-0.99,-0.28,0.29,-0.22,67.97,44.68,-24.92,1609.2325448989868,-520.7332968711853,234.34314131736755,-1.4297521648276084,-1.0398293844558746,46.552020346989224
9,1561.1044999968726,3481.0,2159.0,65.0,0.02,-0.03,-1.0,-0.28,0.04,0.02,66.8,42.33,-24.92,1609.2355251312256,-520.7230448722839,234.3423366546631,-1.4331811097271776,-1.0194639069157034,46.552021307568744
10,1794.8497999896063,3474.0,2167.0,79.0,0.02,-0.03,-1.0,-0.34,0.17,0.02,66.8,42.33,-24.92,1609.2281341552734,-520.7449197769165,234.3401312828064,-1.4339141718058181,-1.019750358909347,46.55257975595897
11,1994.375800000853,3516.0,2107.0,72.0,0.02,-0.03,-1.0,0.02,0.11,0.08,71.48,47.03,-23.79,1609.2264652252197,-520.7388997077942,234.3391627073288,-1.4306255520919615,-1.0510589164339426,46.556337311383004
