Sample;Time (ms);ESP32_X;ESP32_Y;UWB_QF;ESP32_Ax;ESP32_Ay;ESP32_Az;ESP32_Gx;ESP32_Gy;ESP32_Gz;ESP32_Mx;ESP32_My;ESP32_Mz;Robotat_X_mm;Robotat_Y_mm;Robotat_Z_mm;Robotat_Roll;Robotat_Pitch;Robotat_Yaw
2;101.534;649;470;59;0.02;-0.03;-1;-0.28;0.41;-0.29;87.89;58.79;-37.38;-1335.755348;-2025.226593;229.5378149;-1.178110497;-1.524178353;41.11418271
3;203.3185;620;593;49;0.02;-0.03;-1;-0.16;0.11;0.14;85.55;58.79;-38.52;-1335.765123;-2025.212765;229.532972;-1.185046715;-1.514817882;41.12140509
4;305.9508;617;512;62;0.02;-0.03;-1;-0.28;0.23;0.02;86.72;59.96;-38.52;-1335.789442;-2025.246859;229.4973582;-1.177195857;-1.532878242;41.11687519
5;410.0563;599;603;46;0.02;-0.03;-1;-0.22;0.29;0.02;86.72;57.61;-39.65;-1335.80935;-2025.278091;229.5292169;-1.183548598;-1.513399847;41.11668419
6;513.856;621;515;52;0.02;-0.03;-0.99;0.09;0.29;-0.1;87.89;61.14;-39.65;-1335.758805;-2025.230646;229.5344025;-1.169606362;-1.571438516;41.11030368
7;618.1851;657;499;54;0.02;-0.03;-1;-0.22;0.41;0.08;87.89;58.79;-39.65;-1335.744381;-2025.202036;229.5274287;-1.16056077;-1.52813045;41.10537981
8;722.2017;690;473;69;0.02;-0.03;-1;-0.1;0.35;0.08;86.72;58.79;-38.52;-1335.767984;-2025.220156;229.5406908;-1.169040516;-1.502258121;41.11072926
9;827.3674;661;516;94;0.02;-0.03;-1;-0.16;0.04;-0.1;87.89;58.79;-36.25;-1335.763931;-2025.247335;229.4987589;-1.174586509;-1.530321255;41.12343566
10;930.9549;654;532;75;0.02;-0.03;-1;-0.28;0.29;-0.1;86.72;56.44;-39.65;-1335.761189;-2025.18487;229.5432091;-1.176545415;-1.53893712;41.12760031
11;1035.0973;704;487;66;0.02;-0.03;-1;-0.28;0.41;0.2;86.72;58.79;-36.25;-1335.752606;-2025.225878;229.547739;-1.175267299;-1.539306765;41.12194994
12;1137.3742;643;543;96;0.02;-0.03;-1;-0.22;0.29;0.14;85.55;61.14;-36.25;-1335.77168;-2025.207281;229.540199;-1.179416098;-1.514702606;41.12514839
13;1242.0809;647;530;89;0.02;-0.03;-1;-0.16;0.29;0.08;86.72;58.79;-37.38;-1335.750818;-2025.1863;229.5589298;-1.190018746;-1.513580369;41.11380851
14;1346.4671;706;471;89;0.02;-0.03;-1;-0.34;-0.14;-0.04;86.72;57.61;-38.52;-1335.752964;-2025.229692;229.5489162;-1.173891475;-1.505900814;41.11893108
15;1449.9143;684;545;93;0.02;-0.03;-0.99;-0.16;0.04;-0.04;89.06;56.44;-39.65;-1335.751534;-2025.219917;229.5360416;-1.176123905;-1.533572176;41.1199441
16;1552.9755;626;544;75;0.02;-0.03;-1;0.09;0.11;0.08;85.55;58.79;-39.65;-1335.759163;-2025.229692;229.5251489;-1.175205505;-1.56261777;41.11506613
17;1656.4766;622;537;86;0.02;-0.03;-1;-0.34;0.17;-0.04;85.55;57.61;-39.65;-1335.727334;-2025.193453;229.5756787;-1.177403715;-1.536819431;41.12788459
18;1934.8576;680;538;80;0.02;-0.03;-1;-0.16;0.17;0.02;85.55;56.44;-39.65;-1335.753441;-2025.227547;229.5453995;-1.180230391;-1.529371768;41.1306792
19;2079.5433;666;517;83;0.03;-0.03;-1;0.02;0.35;0.08;85.55;56.44;-39.65;-1335.750341;-2025.211573;229.5135707;-1.1764541;-1.517424317;41.11265526
20;2182.2289;672;479;93;0.02;-0.03;-1;0.09;0.17;-0.1;87.89;59.96;-37.38;-1335.757852;-2025.211334;229.5357436;-1.179773698;-1.533942726;41.11846235
21;2285.2133;731;467;77;0.02;-0.03;-0.99;-0.04;0.17;-0.04;86.72;56.44;-39.65;-1335.755229;-2025.20752;229.5425236;-1.173519464;-1.54803601;41.11278925
22;2427.1628;677;496;94;0.02;-0.03;-0.99;-0.1;0.17;0.2;89.06;59.96;-38.52;-1335.781574;-2025.196552;229.5141369;-1.170035224;-1.501645516;41.10792604
23;2530.7107;657;522;87;0.02;-0.03;-1;-0.1;0.23;0.26;89.06;59.96;-38.52;-1335.769176;-2025.222778;229.533419;-1.177395436;-1.520532407;41.12255574
24;4804.8103;651;524;95;0.02;-0.03;-1;-0.28;-0.02;0.14;86.72;58.79;-36.25;-1335.761189;-2025.2285;229.5331061;-1.173921953;-1.532637072;41.11904528
25;4908.3053;757;474;95;0.02;-0.03;-0.99;-0.28;0.11;0.02;85.55;59.96;-38.52;-1335.780621;-2025.247335;229.4976413;-1.186961549;-1.503712749;41.12380808
26;5011.4319;737;465;75;0.02;-0.03;-0.99;-0.04;0.17;-0.1;85.55;59.96;-38.52;-1335.775375;-2025.235891;229.5161486;-1.16781916;-1.510546887;41.11701632
27;7307.5909;717;456;92;0.02;-0.03;-1;-0.22;0.11;0.02;85.55;58.79;-38.52;-1335.764527;-2025.218725;229.5064479;-1.175171572;-1.504726042;41.11352266
28;7411.7294;641;559;95;0.02;-0.03;-1;-0.34;0.29;0.2;86.72;56.44;-36.25;-1335.779548;-2025.211811;229.5583487;-1.186457006;-1.509490503;41.12872423
29;7711.1485;666;516;90;0.02;-0.03;-1;-0.04;0.41;0.08;86.72;59.96;-37.38;-1335.782766;-2025.246143;229.5180261;-1.171410124;-1.52666051;41.10947817
30;7815.2124;647;550;85;0.02;-0.03;-0.99;-0.1;0.17;-0.04;87.89;58.79;-37.38;-1335.7656;-2025.203228;229.5329273;-1.179311651;-1.525479623;41.12740028
31;7919.3299;616;565;74;0.02;-0.02;-0.99;0.02;0.29;0.02;87.89;58.79;-37.38;-1335.847735;-2025.30694;229.4471562;-1.167181112;-1.522329418;41.0994156
32;8024.0043;731;512;84;0.02;-0.03;-0.99;-0.1;0.35;0.14;85.55;57.61;-37.38;-1335.825205;-2025.256395;229.4976562;-1.177271091;-1.532959365;41.1039246
33;8229.3374;697;515;90;0.02;-0.03;-1;-0.04;0.29;-0.04;86.72;59.96;-37.38;-1335.750341;-2025.193691;229.532823;-1.170360883;-1.512922483;41.11654811
34;8436.2948;757;485;75;0.02;-0.03;-1;-0.16;0.11;-0.04;85.55;57.61;-37.38;-1335.741282;-2025.188446;229.5416594;-1.168934557;-1.530724034;41.11259948
35;8540.2311;734;490;90;0.02;-0.02;-1;-0.16;0.11;0.14;84.37;59.96;-37.38;-1335.786104;-2025.227547;229.5005471;-1.167501428;-1.526035711;41.10070718
