Sample,Time (ms),ESP32_X,ESP32_Y,UWB_QF,ESP32_Ax,ESP32_Ay,ESP32_Az,ESP32_Gx,ESP32_Gy,ESP32_Gz,ESP32_Mx,ESP32_My,ESP32_Mz,Robotat_X_mm,Robotat_Y_mm,Robotat_Z_mm,Robotat_Roll,Robotat_Pitch,Robotat_Yaw
2,101.5248000039719,2175.0,349.0,71.0,0.01,-0.04,-1.0,-0.28,0.23,0.02,77.34,76.43,13.59,170.12718319892883,-2217.4370288848877,237.8612458705902,-1.8018452539822267,-0.9833598988110785,43.93093064331976
3,204.943100005039,2172.0,394.0,71.0,0.02,-0.03,-1.0,0.02,0.17,0.2,80.86,78.78,11.33,170.14849185943604,-2217.4525260925293,237.8634214401245,-1.8041212423872743,-0.9647361092140916,43.94568511072269
4,308.4203000034904,2153.0,353.0,74.0,0.02,-0.03,-1.0,0.09,0.11,0.02,79.69,76.43,9.06,170.16460001468658,-2217.3991203308105,237.89232969284058,-1.7966404571785495,-0.9886229372971856,43.93406648403238
5,411.81439999490976,2154.0,330.0,70.0,0.01,-0.03,-1.0,-0.28,0.17,0.02,79.69,76.43,14.73,170.13919353485107,-2217.4232006073,237.88154125213623,-1.792662027170708,-0.9905947278222373,43.90498835686731
6,515.8482999977423,2166.0,386.0,70.0,0.01,-0.04,-1.0,-0.28,0.29,0.02,79.69,78.78,12.46,170.15986144542694,-2217.4270153045654,237.88338899612427,-1.7863633320039791,-0.9843785644550088,43.93095112030803
7,620.2468999981647,2184.0,413.0,76.0,0.02,-0.03,-0.99,-0.34,0.17,-0.04,80.86,79.95,13.59,170.14412581920624,-2217.479467391968,237.86453902721405,-1.7964895023867382,-0.9917612140032377,43.926148365919865
8,723.6267999978736,2173.0,376.0,71.0,0.02,-0.03,-1.0,-0.1,0.23,0.14,80.86,76.43,13.59,170.1592206954956,-2217.430353164673,237.8748059272766,-1.789322554017701,-0.9455277423233195,43.91375735671791
9,827.3470999993151,2200.0,370.0,75.0,0.02,-0.03,-0.99,-0.34,0.29,0.14,77.34,76.43,12.46,170.15498876571655,-2217.4785137176514,237.84230649471283,-1.8177532651726005,-0.9679291309939878,43.96382084961876
10,931.0094999964349,2186.0,380.0,73.0,0.02,-0.03,-1.0,-0.1,0.23,-0.16,78.52,78.78,11.33,170.14136910438538,-2217.419147491455,237.87204921245575,-1.8015490909018501,-0.9975925020979849,43.95324068898486
11,1035.2205999952275,2190.0,384.0,73.0,0.02,-0.03,-1.0,-0.28,0.41,0.02,78.52,78.78,11.33,170.14245688915253,-2217.547655105591,237.82920837402344,-1.7776630186536424,-1.0649695570755848,43.940947650069255
12,3049.906700005522,2168.0,365.0,76.0,0.01,-0.04,-1.0,-0.28,0.11,-0.04,79.69,76.43,11.33,170.14984786510468,-2217.4134254455566,237.8779798746109,-1.781223336905601,-0.990238372381001,43.92542069823742
