Sample;Time (ms);ESP32_X;ESP32_Y;UWB_QF;ESP32_Ax;ESP32_Ay;ESP32_Az;ESP32_Gx;ESP32_Gy;ESP32_Gz;ESP32_Mx;ESP32_My;ESP32_Mz;Robotat_X_mm;Robotat_Y_mm;Robotat_Z_mm;Robotat_Roll;Robotat_Pitch;Robotat_Yaw
2;101.3594;200;3537;81;0.02;-0.03;-1;-0.04;0.29;0.14;92.58;55.26;-36.25;-1635.850191;1050.711513;219.008252;-0.709722384;-1.286487707;36.6745601
3;203.5385;174;3529;59;0.03;-0.03;-0.99;-0.1;-0.08;-0.1;89.06;54.09;-40.78;-1635.866046;1050.716877;219.0078497;-0.703110696;-1.263835387;36.6673353
4;305.6223;174;3444;79;0.03;-0.02;-0.99;-0.1;0.23;0.32;92.58;54.09;-37.38;-1635.874629;1050.71497;219.0040201;-0.700910476;-1.26968604;36.65608782
5;407.7124;160;3511;69;0.02;-0.03;-1;-0.16;0.23;0.02;90.23;55.26;-39.65;-1635.897875;1050.709486;218.9873755;-0.703698571;-1.25615152;36.66733171
6;511.4708;209;3520;75;0.02;-0.03;-1;-0.04;0.47;0.2;89.06;55.26;-36.25;-1635.872245;1050.715685;219.0175951;-0.709317873;-1.289078471;36.6658366
7;615.142;181;3510;72;0.02;-0.02;-1;-0.4;0.17;-0.04;90.23;54.09;-38.52;-1635.900021;1050.705314;218.9991623;-0.706692621;-1.253680104;36.65636049
8;718.1932;208;3523;79;0.02;-0.03;-0.99;-0.04;0.41;0.08;91.41;55.26;-38.52;-1635.864496;1050.709128;218.9949155;-0.700828883;-1.275571767;36.66277948
9;821.5987;144;3520;81;0.03;-0.03;-1;0.09;0.41;0.02;92.58;55.26;-37.38;-1635.903001;1050.70138;219.0026939;-0.716771012;-1.252235408;36.66553097
10;924.0515;132;3476;74;0.02;-0.03;-1;-0.34;0.11;0.14;91.41;55.26;-37.38;-1635.890961;1050.698161;218.9972997;-0.71783289;-1.263492735;36.65900957
11;1026.9365;192;3512;75;0.02;-0.02;-0.99;-0.4;0.23;0.14;90.23;56.44;-38.52;-1635.845423;1050.706863;219.0107703;-0.71399813;-1.277287743;36.67073424
12;1128.8157;189;3545;75;0.02;-0.03;-1;-0.4;0.35;-0.1;91.41;54.09;-39.65;-1635.854006;1050.720096;219.0236449;-0.727560992;-1.275205401;36.65204732
13;1231.4304;135;3486;79;0.03;-0.03;-1;-0.16;0.41;-0.1;90.23;55.26;-39.65;-1635.899782;1050.709486;218.9839035;-0.712470184;-1.23036664;36.66844636
14;1334.3893;171;3505;64;0.02;-0.03;-1;-0.04;0.29;0.26;91.41;54.09;-39.65;-1635.898829;1050.709367;218.9972699;-0.710383098;-1.247585855;36.65964413
15;1439.7243;131;3491;68;0.02;-0.03;-1;-0.04;0.04;0.26;89.06;54.09;-39.65;-1635.876298;1050.710678;219.0134525;-0.721616817;-1.2292725;36.66985173
