Sample;Time (ms);ESP32_X;ESP32_Y;UWB_QF;ESP32_Ax;ESP32_Ay;ESP32_Az;ESP32_Gx;ESP32_Gy;ESP32_Gz;ESP32_Mx;ESP32_My;ESP32_Mz;Robotat_X_mm;Robotat_Y_mm;Robotat_Z_mm;Robotat_Roll;Robotat_Pitch;Robotat_Yaw
34;5713.1848;1447;554;72;0.02;-0.03;-1;0.02;0.41;-0.1;87.89;52.91;5.66;-524.8615742;-1927.459359;232.5479388;-1.29172457;-1.231087338;46.47030274
35;5910.842;1455;520;71;0.01;-0.03;-1.01;0.02;0.35;0.02;87.89;52.91;4.53;-524.8789787;-1927.445292;232.5813323;-1.273395775;-1.210550394;46.47723689
36;6019.9329;1447;528;73;0.02;-0.03;-1;-0.34;0.23;0.02;87.89;52.91;4.53;-524.8544812;-1927.448988;232.5638384;-1.29507042;-1.251025646;46.47108593
37;6216.0369;1453;536;74;0.02;-0.03;-0.99;-0.34;0.17;0.14;86.72;52.91;2.27;-524.8574615;-1927.472711;232.5755656;-1.285373959;-1.254420658;46.46464316
38;6319.4188;1446;526;74;0.02;-0.03;-1;-0.16;0.23;-0.04;86.72;52.91;3.4;-524.8675346;-1927.473545;232.5567454;-1.286921191;-1.270393695;46.47067368
39;6423.4678;1446;565;83;0.02;-0.03;-1;-0.46;0.53;0.14;85.55;52.91;4.53;-524.846673;-1927.453041;232.5729132;-1.286323657;-1.258752438;46.46940729
40;6526.6232;1450;570;75;0.01;-0.03;-1;-0.16;0.29;-0.1;85.55;52.91;4.53;-524.856329;-1927.453995;232.5918525;-1.282519756;-1.237844931;46.46889661
41;6630.6253;1457;566;73;0.02;-0.03;-0.99;-0.04;-0.02;0.02;86.72;54.09;6.8;-524.8537064;-1927.459598;232.5875461;-1.281539804;-1.235333346;46.46919528
42;6734.2253;1459;561;71;0.02;-0.03;-0.99;-0.16;0.29;0.08;85.55;52.91;6.8;-524.8423815;-1927.457094;232.5797826;-1.298790497;-1.263692769;46.46995291
43;6837.372;1453;541;70;0.01;-0.03;-1;-0.22;0.17;-0.04;86.72;52.91;3.4;-524.8633623;-1927.4472;232.5815558;-1.273084181;-1.232461282;46.46655801
44;6940.2499;1440;572;76;0.02;-0.03;-1;-0.22;0.41;0.02;84.37;51.73;3.4;-524.8602629;-1927.453041;232.5717509;-1.282215885;-1.221199275;46.47073761
45;7044.1439;1450;551;73;0.02;-0.03;-0.99;-0.04;0.23;0.08;84.37;51.73;3.4;-524.8728991;-1927.453279;232.585296;-1.281689715;-1.237750753;46.46228632
46;8479.665;1458;594;73;0.02;-0.03;-1;0.02;0.23;0.02;86.72;51.73;4.53;-524.8582959;-1927.465796;232.5785607;-1.28614345;-1.211741892;46.47577681
47;8583.7106;1459;610;79;0.02;-0.03;-1;-0.28;0.47;-0.04;86.72;52.91;4.53;-524.8386264;-1927.452683;232.5714827;-1.288670131;-1.254312537;46.46360227
48;8778.5756;1452;604;75;0.01;-0.03;-1;-0.1;0.23;0.2;85.55;52.91;3.4;-524.8781443;-1927.471042;232.5753868;-1.283084035;-1.225603615;46.47452023
49;8980.4073;1468;646;76;0.01;-0.03;-1;0.02;0.04;0.02;87.89;52.91;5.66;-524.8566866;-1927.449584;232.5666994;-1.287431522;-1.220111195;46.47279689
50;9083.7809;1465;641;72;0.01;-0.03;-0.99;-0.16;0.17;0.08;89.06;52.91;4.53;-524.8553753;-1927.449107;232.5652242;-1.283042139;-1.237273193;46.4666829
51;9186.3082;1462;614;72;0.02;-0.03;-1;-0.16;0.23;0.08;86.72;54.09;4.53;-524.8534083;-1927.478075;232.5680852;-1.278814748;-1.220431774;46.47046414
52;9391.228;1458;556;72;0.01;-0.03;-1;-0.16;0.35;-0.1;85.55;51.73;4.53;-524.8529315;-1927.448273;232.5664759;-1.288978616;-1.259512964;46.4655981
53;9600.2459;1436;545;71;0.01;-0.03;-1;-0.04;0.41;-0.1;86.72;52.91;6.8;-524.8618126;-1927.461982;232.5797975;-1.287781221;-1.243889393;46.47309456
54;9703.598;1431;531;72;0.02;-0.02;-1;-0.1;0.23;-0.1;87.89;51.73;5.66;-524.8449445;-1927.464843;232.5793505;-1.293598584;-1.26904722;46.46760628
55;9806.8951;1434;566;75;0.02;-0.03;-1;-0.22;0.29;0.2;84.37;52.91;6.8;-524.830997;-1927.441716;232.5933576;-1.282991187;-1.232892504;46.47010219
