Sample;Time (ms);ESP32_X;ESP32_Y;UWB_QF;ESP32_Ax;ESP32_Ay;ESP32_Az;ESP32_Gx;ESP32_Gy;ESP32_Gz;ESP32_Mx;ESP32_My;ESP32_Mz;Robotat_X_mm;Robotat_Y_mm;Robotat_Z_mm;Robotat_Roll;Robotat_Pitch;Robotat_Yaw
2;102.1472;3264;4266;77;0.02;-0.02;-1;-0.34;0.23;0.08;33.98;61.14;-50.98;1367.770553;1753.958702;225.323841;-0.689640081;-1.784858509;50.73224809
3;205.7798;3253;4303;77;0.02;-0.02;-1;-0.16;0.35;-0.04;35.16;59.96;-50.98;1367.736936;1753.956199;225.1403034;-0.40301523;-2.204364583;50.78799588
4;309.0957;3256;4276;77;0.02;-0.02;-1.01;-0.16;0.17;-0.04;35.16;59.96;-50.98;1367.814541;1754.002333;225.1126021;-0.44108066;-2.272019244;50.74302732
5;412.7141;3227;4270;77;0.02;-0.02;-0.99;-0.34;0.29;0.14;35.16;61.14;-52.11;1367.794752;1753.951788;225.3216654;-0.693535206;-1.895277164;50.72206953
6;517.6056;3246;4292;76;0.02;-0.02;-1;-0.28;-0.02;-0.1;36.33;59.96;-52.11;1367.771864;1753.973603;225.1317352;-0.418324047;-2.242646556;50.76656539
7;622.1202;3252;4287;77;0.02;-0.02;-1;-0.1;0.17;-0.04;35.16;58.79;-49.84;1367.705822;1753.94392;225.1489609;-0.40177207;-2.134274653;50.80675014
8;725.8181;3299;4278;86;0.02;-0.02;-1;-0.1;0.17;-0.22;31.64;61.14;-50.98;1367.766976;1753.975511;225.128755;-0.424024753;-2.184121397;50.77596511
9;831.0659;3273;4303;83;0.02;-0.02;-1;-0.22;0.17;0.02;32.81;62.32;-50.98;1367.74826;1753.977299;225.1282185;-0.416157749;-2.137507234;50.78903234
10;935.1464;3253;4262;82;0.02;-0.02;-1;-0.04;0.53;-0.41;33.98;59.96;-52.11;1367.779374;1753.975511;225.1220942;-0.430602728;-2.231010187;50.77284528
11;1039.2541;3236;4276;77;0.32;-0.21;-0.96;39.51;8.59;-57.54;45.7;69.37;-56.64;1367.778301;1753.938794;225.3290266;-0.681703841;-1.867402855;50.73253771
12;1140.9418;3134;4290;64;0.23;0.03;-0.93;9.91;39.41;-15.97;70.31;75.25;-11.33;1367.780447;1753.989577;225.1131237;-0.429477782;-2.212259275;50.77172983
13;1246.4014;3275;4259;58;0.02;-0.01;-0.99;-0.22;0.29;0.02;72.66;70.55;-10.2;1367.748857;1753.978133;225.1255363;-0.41738517;-2.204859228;50.77894226
14;1349.2535;3253;4311;59;0.02;-0.02;-0.99;0.09;0.17;-0.1;71.48;69.37;-11.33;1367.775917;1753.936887;225.3267169;-0.683074349;-1.875702697;50.74727549
15;1453.7209;3261;4288;57;0.02;-0.02;-1;-0.22;0.23;-0.1;75;71.72;-11.33;1367.830396;1753.976583;225.2989709;-0.71228353;-1.898881505;50.70387385
16;1557.3784;3280;4252;62;0.02;-0.02;-1;-0.1;0.35;0.2;72.66;70.55;-13.59;1367.766142;1753.989577;225.120008;-0.416464399;-2.188367995;50.78024902
17;1662.261;3305;4211;64;0.02;-0.02;-1;-0.22;0.23;0.02;73.83;70.55;-11.33;1367.77997;1754.010677;225.1099944;-0.421948674;-2.178983329;50.76254435
18;1766.3876;3248;4289;60;0.02;-0.02;-1;-0.1;0.29;0.08;72.66;70.55;-11.33;1367.75732;1753.979206;225.1255661;-0.417397895;-2.187975707;50.78872872
19;1868.3954;3302;4240;56;0.02;-0.02;-0.99;-0.1;0.29;0.02;73.83;71.72;-11.33;1367.774844;1753.986239;225.1234055;-0.428125926;-2.18325749;50.75743668
20;1973.1371;3317;4215;63;0.02;-0.02;-1;-0.34;0.35;0.14;73.83;70.55;-11.33;1367.79201;1753.960609;225.3159881;-0.691895545;-1.901413314;50.72820062
21;2076.8503;3303;4242;58;0.02;-0.02;-1;-0.1;0.23;0.08;73.83;70.55;-12.46;1367.797732;1753.993034;225.1186371;-0.427440086;-2.236599964;50.75703324
22;2180.009;3281;4253;62;0.02;-0.01;-1;-0.28;0.23;-0.1;73.83;70.55;-12.46;1367.761612;1753.924966;225.3263593;-0.68621933;-1.8584512;50.74053704
23;2284.9124;3270;4266;60;0.02;-0.02;-1;0.02;0.23;0.08;70.31;69.37;-11.33;1367.743254;1753.965378;225.3345251;-0.656487768;-1.86615334;50.75837082
24;2388.7728;3301;4232;62;0.02;-0.02;-0.99;-0.16;0.35;-0.04;71.48;71.72;-10.2;1367.788196;1753.992915;225.1134962;-0.434569738;-2.15627437;50.75601648
25;2504.882;3276;4258;61;0.02;-0.02;-1;-0.22;0.35;-0.04;70.31;70.55;-10.2;1367.762089;1753.938675;225.3307104;-0.690470775;-1.839154443;50.75822125
26;2607.9775;3259;4287;58;0.02;-0.02;-1;0.02;0.29;0.08;70.31;72.9;-13.59;1367.772222;1753.974915;225.1415998;-0.41223565;-2.196057535;50.7774218
27;2711.2357;3239;4299;63;0.02;-0.02;-1;-0.1;0.41;0.02;70.31;72.9;-13.59;1367.766261;1753.986001;225.1362056;-0.426046676;-2.201944382;50.77407052
28;2812.8818;3239;4304;61;0.02;-0.02;-1;-0.22;0.47;0.14;71.48;69.37;-10.2;1367.75291;1753.996253;225.1140028;-0.412944687;-2.119038665;50.78682096
29;2916.4865;3243;4303;57;0.02;-0.02;-0.99;-0.52;0.23;0.08;73.83;70.55;-9.06;1367.767572;1753.991365;225.1149416;-0.424411002;-2.189314208;50.76195594
30;3021.0051;3252;4277;62;0.02;-0.02;-1;-0.22;0.11;0.14;72.66;69.37;-11.33;1367.729664;1753.983736;225.1545042;-0.380228716;-2.043733705;50.83665796
31;3125.6072;3247;4278;61;0.02;-0.02;-1;-0.28;0.11;0.02;71.48;68.2;-10.2;1367.776394;1753.964186;225.3263593;-0.669260587;-1.818215537;50.78324873
32;3229.4141;3235;4288;61;0.02;-0.02;-1;-0.1;0.29;0.26;72.66;69.37;-10.2;1367.720366;1753.95143;225.1585722;-0.409836818;-2.114685802;50.77930026
33;3374.4575;3261;4249;65;0.02;-0.01;-1;-0.46;0.23;-0.04;73.83;71.72;-10.2;1367.726922;1753.963351;225.3385186;-0.647609962;-1.836162567;50.77157546
34;3578.9062;3278;4221;66;0.02;-0.02;-1;-0.1;0.29;0.02;71.48;70.55;-13.59;1367.791176;1753.989458;225.1170874;-0.412744151;-2.215864871;50.77333733
35;3694.2124;3264;4246;61;0.02;-0.02;-0.99;-0.34;0.35;-0.16;71.48;70.55;-13.59;1367.785811;1753.923535;225.3392041;-0.701666311;-1.885453164;50.71784483
36;3797.5347;3253;4271;58;0.02;-0.02;-1;-0.1;0.17;-0.04;71.48;71.72;-10.2;1367.755651;1753.982902;225.1390964;-0.412370865;-2.216664374;50.78417416
37;3901.2947;3256;4283;58;0.02;-0.02;-1;-0.16;0.04;-0.04;72.66;71.72;-11.33;1367.774487;1753.952384;225.1425683;-0.421634009;-2.207589065;50.77599289
38;4005.7508;3227;4300;63;0.02;-0.02;-1;-0.16;0.35;-0.04;71.48;71.72;-10.2;1367.776036;1753.953218;225.3257781;-0.684684127;-1.847938146;50.75673564
